"PID","hhid","ws6q01","ws6q02"
2,"0007d1f1449242feb5a25429644fb991",,
1,"0007d1f1449242feb5a25429644fb991",,
2,"0010cbae3cea4ec9831f6cd92b02dc16",,
4,"0010cbae3cea4ec9831f6cd92b02dc16",2,
4,"00246782f8654441a9df0f6ec0b6fc9f",,
2,"00246782f8654441a9df0f6ec0b6fc9f",2,
6,"00246782f8654441a9df0f6ec0b6fc9f",,
2,"003ed8d32f794609919d60d2ed8813e8",,
3,"003ed8d32f794609919d60d2ed8813e8",,
1,"003ed8d32f794609919d60d2ed8813e8",,
1,"005fbc5779014a0290b088071bde9f72",,
3,"0060071f3f414406af7312d68eae8513",,
3,"007341c9c07448a580714ee6a46d427f",,
2,"007341c9c07448a580714ee6a46d427f",2,
6,"008c674975f24ea79f50e30cbd4ee635",,
1,"008c674975f24ea79f50e30cbd4ee635",,
5,"008c674975f24ea79f50e30cbd4ee635",2,
4,"009c1baa0edb44f8af47773ce0b7caaa",,
2,"009c1baa0edb44f8af47773ce0b7caaa",,
1,"009c1baa0edb44f8af47773ce0b7caaa",,
1,"00b48fb6bcf84dd581bd7b2be5f908a0",,
2,"00b4bea2a97641f88ae09439328edd9a",,
5,"00c2b27287a74f948fef24a8de42825c",,
2,"00c2b27287a74f948fef24a8de42825c",,
3,"00c2b27287a74f948fef24a8de42825c",2,
1,"00c2b27287a74f948fef24a8de42825c",2,
4,"00cb487f12014891b3efa5c8679d18ab",,
2,"00cb487f12014891b3efa5c8679d18ab",,
3,"00d5da8bbd544c548a71f176496ee4b6",,
6,"00d5da8bbd544c548a71f176496ee4b6",,
5,"00d5da8bbd544c548a71f176496ee4b6",,
4,"00d5da8bbd544c548a71f176496ee4b6",,
2,"00d5da8bbd544c548a71f176496ee4b6",2,
10,"00dc3a212a1f40698656b2dc7cc97a85",,
9,"00dc3a212a1f40698656b2dc7cc97a85",,
8,"00dc3a212a1f40698656b2dc7cc97a85",,
5,"00dc3a212a1f40698656b2dc7cc97a85",,
2,"00dc3a212a1f40698656b2dc7cc97a85",2,
5,"0142f6f0c8f9435c97ac2563a6f390ec",,
