"interview__key","parcelID","pltid","fam_labour__id","s3aq33","s3aq33_1","hhid"
"51-74-54-18",1,1,3,1,5,"0007d1f1449242feb5a25429644fb991"
"51-74-54-18",1,1,1,1,6,"0007d1f1449242feb5a25429644fb991"
"51-74-54-18",1,1,6,2,,"0007d1f1449242feb5a25429644fb991"
"51-74-54-18",1,1,2,2,,"0007d1f1449242feb5a25429644fb991"
"65-55-82-07",5,1,2,1,8,"0010cbae3cea4ec9831f6cd92b02dc16"
"65-55-82-07",7,1,2,1,6,"0010cbae3cea4ec9831f6cd92b02dc16"
"65-55-82-07",7,1,1,1,12,"0010cbae3cea4ec9831f6cd92b02dc16"
"65-55-82-07",2,1,4,1,6,"0010cbae3cea4ec9831f6cd92b02dc16"
"65-55-82-07",6,1,4,1,15,"0010cbae3cea4ec9831f6cd92b02dc16"
"65-55-82-07",7,1,4,1,6,"0010cbae3cea4ec9831f6cd92b02dc16"
"65-55-82-07",1,1,1,1,15,"0010cbae3cea4ec9831f6cd92b02dc16"
"65-55-82-07",6,1,2,1,21,"0010cbae3cea4ec9831f6cd92b02dc16"
"65-55-82-07",5,1,4,1,10,"0010cbae3cea4ec9831f6cd92b02dc16"
"65-55-82-07",1,1,2,1,12,"0010cbae3cea4ec9831f6cd92b02dc16"
"65-55-82-07",1,1,4,1,8,"0010cbae3cea4ec9831f6cd92b02dc16"
"65-55-82-07",2,1,1,1,15,"0010cbae3cea4ec9831f6cd92b02dc16"
"65-55-82-07",2,1,2,1,12,"0010cbae3cea4ec9831f6cd92b02dc16"
"65-55-82-07",6,1,1,1,14,"0010cbae3cea4ec9831f6cd92b02dc16"
"65-55-82-07",5,1,1,1,10,"0010cbae3cea4ec9831f6cd92b02dc16"
"15-59-27-28",2,1,4,2,,"00246782f8654441a9df0f6ec0b6fc9f"
"15-59-27-28",3,1,4,2,,"00246782f8654441a9df0f6ec0b6fc9f"
"15-59-27-28",3,1,1,1,2,"00246782f8654441a9df0f6ec0b6fc9f"
"15-59-27-28",3,1,3,2,,"00246782f8654441a9df0f6ec0b6fc9f"
"15-59-27-28",3,1,2,1,2,"00246782f8654441a9df0f6ec0b6fc9f"
"15-59-27-28",2,1,1,1,11,"00246782f8654441a9df0f6ec0b6fc9f"
"15-59-27-28",3,1,5,2,,"00246782f8654441a9df0f6ec0b6fc9f"
"15-59-27-28",2,1,3,2,,"00246782f8654441a9df0f6ec0b6fc9f"
"15-59-27-28",2,1,2,1,11,"00246782f8654441a9df0f6ec0b6fc9f"
"15-59-27-28",2,1,5,2,,"00246782f8654441a9df0f6ec0b6fc9f"
"60-42-84-88",1,1,2,2,,"0060071f3f414406af7312d68eae8513"
"60-42-84-88",1,2,1,2,,"0060071f3f414406af7312d68eae8513"
"60-42-84-88",1,2,3,1,30,"0060071f3f414406af7312d68eae8513"
"60-42-84-88",1,1,3,2,,"0060071f3f414406af7312d68eae8513"
"60-42-84-88",1,1,1,2,,"0060071f3f414406af7312d68eae8513"
"60-42-84-88",1,2,2,2,,"0060071f3f414406af7312d68eae8513"
"96-36-60-16",1,1,4,1,5,"009c1baa0edb44f8af47773ce0b7caaa"
"96-36-60-16",1,1,2,1,12,"009c1baa0edb44f8af47773ce0b7caaa"
"96-36-60-16",1,1,1,1,30,"009c1baa0edb44f8af47773ce0b7caaa"
"34-38-33-49",1,1,1,1,60,"00b48fb6bcf84dd581bd7b2be5f908a0"
"34-38-33-49",1,2,1,2,,"00b48fb6bcf84dd581bd7b2be5f908a0"
"76-53-95-73",1,2,3,2,,"00d5da8bbd544c548a71f176496ee4b6"
"76-53-95-73",1,1,3,2,,"00d5da8bbd544c548a71f176496ee4b6"
"76-53-95-73",1,1,2,1,3,"00d5da8bbd544c548a71f176496ee4b6"
"76-53-95-73",1,1,1,1,9,"00d5da8bbd544c548a71f176496ee4b6"
"76-53-95-73",1,1,4,2,,"00d5da8bbd544c548a71f176496ee4b6"
"76-53-95-73",1,2,2,1,6,"00d5da8bbd544c548a71f176496ee4b6"
"76-53-95-73",1,2,4,2,,"00d5da8bbd544c548a71f176496ee4b6"
"76-53-95-73",1,2,1,1,2,"00d5da8bbd544c548a71f176496ee4b6"
"23-36-56-02",2,1,6,1,6,"00dc3a212a1f40698656b2dc7cc97a85"
"23-36-56-02",2,1,1,1,30,"00dc3a212a1f40698656b2dc7cc97a85"
"23-36-56-02",2,1,4,1,8,"00dc3a212a1f40698656b2dc7cc97a85"
"23-36-56-02",3,1,2,1,54,"00dc3a212a1f40698656b2dc7cc97a85"
"23-36-56-02",2,1,7,2,,"00dc3a212a1f40698656b2dc7cc97a85"
"23-36-56-02",3,1,1,1,54,"00dc3a212a1f40698656b2dc7cc97a85"
"23-36-56-02",2,1,5,1,8,"00dc3a212a1f40698656b2dc7cc97a85"
"23-36-56-02",3,1,6,2,,"00dc3a212a1f40698656b2dc7cc97a85"
"23-36-56-02",3,1,5,1,3,"00dc3a212a1f40698656b2dc7cc97a85"
"23-36-56-02",3,1,3,1,3,"00dc3a212a1f40698656b2dc7cc97a85"
"23-36-56-02",3,1,7,2,,"00dc3a212a1f40698656b2dc7cc97a85"
"23-36-56-02",3,1,4,1,3,"00dc3a212a1f40698656b2dc7cc97a85"
