"hhid","A10itemcod_ID","s10q01a","s10q02a","s10q03aa","s10q04a","s10q05aa","s10q06a","s10q07aa","s10q08a"
"0007d1f1449242feb5a25429644fb991",19,1,30000,1,1,,2,,
"0007d1f1449242feb5a25429644fb991",1,3,20000,3,1,,2,,
"0007d1f1449242feb5a25429644fb991",14,2,450000,2,1,,2,,
"0007d1f1449242feb5a25429644fb991",3,1,2500,1,1,,2,,
"0007d1f1449242feb5a25429644fb991",12,1,7500,1,1,,2,,
"0010cbae3cea4ec9831f6cd92b02dc16",14,1,185000,1,1,,2,,
"0010cbae3cea4ec9831f6cd92b02dc16",1,3,19000,3,1,,2,,
"0010cbae3cea4ec9831f6cd92b02dc16",4,0,,0,1,,1,1,0
"0010cbae3cea4ec9831f6cd92b02dc16",3,2,6500,2,1,,2,,
"00246782f8654441a9df0f6ec0b6fc9f",3,1,1500,1,1,,2,,
"00246782f8654441a9df0f6ec0b6fc9f",14,1,100000,1,2,5,,,
"00246782f8654441a9df0f6ec0b6fc9f",1,2,10000,2,1,,2,,
"003ed8d32f794609919d60d2ed8813e8",3,1,5000,1,1,,2,,
"003ed8d32f794609919d60d2ed8813e8",1,3,9000,3,1,,2,,
"003ed8d32f794609919d60d2ed8813e8",22,0,,0,1,,1,2,1
"0060071f3f414406af7312d68eae8513",3,1,5000,1,1,,2,,
"0060071f3f414406af7312d68eae8513",1,2,10000,2,1,,2,,
"008c674975f24ea79f50e30cbd4ee635",1,3,7000,3,1,,2,,
"008c674975f24ea79f50e30cbd4ee635",3,1,3500,1,1,,2,,
"009c1baa0edb44f8af47773ce0b7caaa",1,1,10000,1,1,,2,,
"009c1baa0edb44f8af47773ce0b7caaa",8,1,2500,1,1,,2,,
"009c1baa0edb44f8af47773ce0b7caaa",3,1,5000,1,1,,2,,
"00b48fb6bcf84dd581bd7b2be5f908a0",3,1,5000,1,1,,2,,
"00b48fb6bcf84dd581bd7b2be5f908a0",1,2,5000,2,1,,2,,
"00cb487f12014891b3efa5c8679d18ab",4,1,3500,1,1,,2,,
"00cb487f12014891b3efa5c8679d18ab",1,3,13000,3,1,,2,,
"00cb487f12014891b3efa5c8679d18ab",3,2,4000,2,1,,2,,
"00d5da8bbd544c548a71f176496ee4b6",22,1,10000,0,1,,2,,
"00d5da8bbd544c548a71f176496ee4b6",1,3,6000,3,1,,2,,
"00dc3a212a1f40698656b2dc7cc97a85",12,1,15000,0,1,,2,,
"00dc3a212a1f40698656b2dc7cc97a85",3,1,15000,1,1,,2,,
"00dc3a212a1f40698656b2dc7cc97a85",1,4,40000,1,1,,2,,
"00dc3a212a1f40698656b2dc7cc97a85",2,0,,0,1,,1,1,20000
"0142f6f0c8f9435c97ac2563a6f390ec",8,1,2000,1,1,,2,,
"0142f6f0c8f9435c97ac2563a6f390ec",1,4,28000,4,1,,2,,
"0142f6f0c8f9435c97ac2563a6f390ec",3,2,6000,2,1,,2,,
"014cbd0c0b844976888438f7ea74aa69",1,1,6000,1,1,,2,,
"014cbd0c0b844976888438f7ea74aa69",14,1,270000,0,1,,2,,
"0182fc7b5eb44c44aef16c3a178fb762",3,1,3000,1,1,,2,,
"0182fc7b5eb44c44aef16c3a178fb762",1,2,4000,2,1,,2,,
"018d29620fa44db282c80b6627413e5c",22,1,3000,1,1,,2,,
"018d29620fa44db282c80b6627413e5c",3,1,4000,1,1,,2,,
"018d29620fa44db282c80b6627413e5c",1,3,12000,3,1,,2,,
"0192cb54d502450ca603738439bf616f",19,0,,0,1,,1,1,0
"0192cb54d502450ca603738439bf616f",1,3,13000,2,1,,2,,
"0192cb54d502450ca603738439bf616f",3,3,9000,3,1,,2,,
"0197cec68e9246a887cae30b13bc7488",3,1,3000,1,1,,2,,
"0197cec68e9246a887cae30b13bc7488",1,1,7000,1,1,,2,,
"019f06d347d04d5fa22f1846aba0c59b",3,3,10000,3,1,,2,,
"019f06d347d04d5fa22f1846aba0c59b",1,7,50000,7,1,,2,,
"019f06d347d04d5fa22f1846aba0c59b",8,1,3000,1,1,,2,,
"01d0f651c2534a1f8355b9e10e0e9dcb",3,1,7000,1,1,,2,,
"01d0f651c2534a1f8355b9e10e0e9dcb",4,1,5000,1,1,,2,,
"01d0f651c2534a1f8355b9e10e0e9dcb",1,1,10000,1,1,,2,,
"01d54a65224747fba33cf7b310c7435e",1,2,10000,2,1,,2,,
"01d54a65224747fba33cf7b310c7435e",3,1,2000,1,1,,2,,
"01d54a65224747fba33cf7b310c7435e",8,1,1000,1,1,,2,,
"01d54a65224747fba33cf7b310c7435e",21,1,150000,1,1,,2,,
"01d54a65224747fba33cf7b310c7435e",19,0,,0,1,,1,3,20000
"01e7608a258e42c7a2f5af8b551bc247",4,1,3000,1,1,,2,,
"01e7608a258e42c7a2f5af8b551bc247",1,6,40000,5,1,,2,,
"01e7608a258e42c7a2f5af8b551bc247",3,1,5000,1,1,,2,,
"02087846085249d1ae73a1070233c8bb",3,3,9000,3,1,,2,,
"02087846085249d1ae73a1070233c8bb",1,3,15000,3,1,,2,,
"0222b766ba3d494fbf6fe07cf260dac4",4,1,4000,1,1,,2,,
"0222b766ba3d494fbf6fe07cf260dac4",3,1,3500,1,1,,2,,
"0222b766ba3d494fbf6fe07cf260dac4",1,4,21000,3,1,,2,,
"0222b766ba3d494fbf6fe07cf260dac4",14,0,,0,1,,2,,
"0222b766ba3d494fbf6fe07cf260dac4",22,1,8000,1,1,,2,,
"024172552bc54600b13887149d11e82c",1,1,5000,1,1,,2,,
"024172552bc54600b13887149d11e82c",3,1,3000,1,1,,2,,
"02449af9963842c8b8f615b2232735b1",12,1,2000,1,1,,2,,
"02449af9963842c8b8f615b2232735b1",8,1,1000,1,1,,2,,
"02449af9963842c8b8f615b2232735b1",1,5,20000,5,1,,2,,
"02449af9963842c8b8f615b2232735b1",3,1,3000,1,1,,2,,
"02449af9963842c8b8f615b2232735b1",19,1,3000,1,1,,2,,
"02449af9963842c8b8f615b2232735b1",4,1,2000,1,1,,2,,
"02449af9963842c8b8f615b2232735b1",5,0,,1,1,,2,,
"025b88ecba4a44279935bd4a0d19bccd",1,4,36000,4,1,,2,,
"025b88ecba4a44279935bd4a0d19bccd",14,1,15000,1,1,,2,,
"025b88ecba4a44279935bd4a0d19bccd",4,1,3500,1,1,,2,,
"02868c7da57e46529281d2dae35ee7fd",3,0,,0,1,,1,1,0
"02868c7da57e46529281d2dae35ee7fd",19,0,,0,1,,1,1,5000
"02868c7da57e46529281d2dae35ee7fd",14,0,,0,1,,1,1,70000
"02868c7da57e46529281d2dae35ee7fd",1,2,12000,2,1,,2,,
"02868c7da57e46529281d2dae35ee7fd",4,1,6000,1,1,,2,,
"02b20908f47043f0b2389ba8246c5bdc",1,3,5000,3,1,,2,,
"02b20908f47043f0b2389ba8246c5bdc",3,1,2500,1,1,,2,,
"02efd503602d4d10a508075b811e5913",19,1,20000,1,1,,2,,
"02efd503602d4d10a508075b811e5913",1,3,15000,3,1,,2,,
"02efd503602d4d10a508075b811e5913",3,1,3000,1,1,,2,,
"02efd503602d4d10a508075b811e5913",12,1,2000,1,1,,2,,
"02fbc725a3074d0fa9debb7a02ba23fb",13,1,4000,1,1,,2,,
"02fbc725a3074d0fa9debb7a02ba23fb",8,1,1000,1,1,,2,,
"02fbc725a3074d0fa9debb7a02ba23fb",1,1,5000,1,1,,1,2,0
"02fbc725a3074d0fa9debb7a02ba23fb",3,0,,0,1,,1,2,0
"03003a6f1ccd4b1290629662229b5d83",1,1,7000,1,1,,2,,
"03003a6f1ccd4b1290629662229b5d83",3,0,,0,1,,1,1,0
