"hhid","parcelID","a2aq1owned","s2aq5_1","s2aq03_1a","s2aq4","s2aq5","s2aq6","s2aq7","s2aq8","s2aq9","s2aq10","s2aq11a","s2aq11b","a2bq12a_1","a2bq12b_1","s2aq14","s2aq15a","s2aq15b","a2aq28","a2aq29a","a2aq29b","a2aq18","s2aq20","s2aq21","s2aq22a","s2aq22b","s2aq23","a2aq31","s2aq26__0","s2aq26__1","a2aq32","a2aq33a","a2aq33b","a2aq33c","s2aq24__0","s2aq24__1","s2aq27__0","s2aq27__1","a2aq34","a2aq25","a2aq35","a2aq36","a2aq37","a2aq38","a2aq39"
"0007d1f1449242feb5a25429644fb991",1,1,6,1,2.98,1.5,1,4,2,999,1,1,1,,,,60,100,2,,,2,2,,,,4,,,,2,,,,1,,1,,1,2,2,,1,,2500000
"0007d1f1449242feb5a25429644fb991",2,1,6,1,2.47,1.5,1,4,2,999,1,5,1,1,,,,100,2,,,2,2,,,,4,,,,2,,,,1,,1,,1,2,2,,1,,1500000
"0007d1f1449242feb5a25429644fb991",4,1,6,1,3.14,3,1,4,2,999,1,5,5,1,3,,,,1,1,,2,2,,,,4,,,,2,,,,1,,1,,1,2,2,,1,,10000000
"0010cbae3cea4ec9831f6cd92b02dc16",1,1,1,3,,1,2,4,2,999,1,1,1,,,,100,75,2,,,2,2,,,,4,,,,2,,,,1,2,1,,2,2,2,,1,,2000000
"0010cbae3cea4ec9831f6cd92b02dc16",2,1,4,3,1.11,1,2,4,2,999,1,1,1,,,,100,75,2,,,2,2,,,,4,,,,2,,,,1,2,1,,2,2,2,,1,,2000000
"0010cbae3cea4ec9831f6cd92b02dc16",3,1,4,1,,1,4,4,4,999,1,5,5,3,3,,,,2,,,2,2,,,,4,,,,2,,,,1,2,1,,2,2,2,,1,,5000000
"0010cbae3cea4ec9831f6cd92b02dc16",4,1,4,3,1.26,1,1,4,2,999,2,5,1,3,,,,100,2,,,2,2,,,,4,,,,2,,,,1,2,1,,2,2,2,,1,,3000000
"0010cbae3cea4ec9831f6cd92b02dc16",5,1,2,3,2,2,1,4,2,999,1,1,1,,,,50,42,1,1,,2,2,,,,4,,,,2,,,,1,2,1,,2,2,2,,1,,4000000
"0010cbae3cea4ec9831f6cd92b02dc16",6,1,4,1,2.02,2,1,4,2,999,2,1,1,,,,32,69,2,,,2,2,,,,4,,,,2,,,,1,2,1,,2,2,2,,1,,3000000
"0010cbae3cea4ec9831f6cd92b02dc16",7,1,4,3,,3,4,4,2,999,1,1,1,,,,33,100,2,,,2,2,,,,4,,,,2,,,,1,2,1,,2,2,2,,1,,2500000
"00246782f8654441a9df0f6ec0b6fc9f",2,1,2,1,0.68,0.5,1,4,2,999,1,1,1,,,,100,100,1,1,,2,2,,,,4,,,,2,,,,1,2,1,2,2,2,2,,1,,5000000
"00246782f8654441a9df0f6ec0b6fc9f",3,1,2,1,0.7,0.5,1,4,2,999,1,1,1,,,,100,100,2,,,2,2,,,,4,,,,2,,,,1,2,1,2,2,2,2,,1,,5000000
"0060071f3f414406af7312d68eae8513",1,1,3,1,5.2,6,1,3,2,999,1,3,3,,,200000,,,2,,,2,2,,,,4,,,,1,96,,,1,,1,,6,2,2,,1,,7000000
"008c674975f24ea79f50e30cbd4ee635",1,1,5,1,,1.5,3,4,2,999,1,5,5,3,3,,,,2,,,2,2,,,,4,,,,2,,,,1,5,1,5,2,2,2,,1,,2000000
"008c674975f24ea79f50e30cbd4ee635",2,1,5,1,,1,3,4,2,999,1,5,2,3,,,,100,2,,,2,2,,,,4,,,,2,,,,1,5,1,5,2,2,2,,1,,2000000
"008c674975f24ea79f50e30cbd4ee635",3,1,5,,1.03,1.5,3,4,2,999,2,5,2,3,,,,100,2,,,2,2,,,,4,,,,2,,,,1,5,1,5,2,2,2,,1,,1500000
"009c1baa0edb44f8af47773ce0b7caaa",1,1,1,1,0.65,0.5,1,1,1,999,1,2,2,,,,100,100,2,,,2,2,,,,4,,,,2,,,,1,,1,,1,2,2,,1,,15000000
"00b48fb6bcf84dd581bd7b2be5f908a0",1,1,1,1,1,1,1,4,2,999,1,2,2,,,,100,100,2,,,2,2,,,,1,2017,1,,,,,,1,,1,,1,2,2,,1,,6000000
"00cb487f12014891b3efa5c8679d18ab",1,1,2,1,,1.5,1,4,2,999,1,6,6,,,,,,2,,,2,2,,,,4,,,,2,,,,1,2,1,2,2,2,2,,1,,1000000
"00cb487f12014891b3efa5c8679d18ab",2,1,2,1,,1,2,4,2,999,1,5,1,1,,,,100,2,,,2,2,,,,4,,,,2,,,,1,2,1,2,2,2,2,,1,,800000
"00cb487f12014891b3efa5c8679d18ab",3,1,2,1,,0.5,2,1,1,999,1,5,1,1,,,,100,2,,,2,2,,,,1,2004,1,2,,,,,1,2,1,2,2,2,2,,1,,850000
"00d5da8bbd544c548a71f176496ee4b6",1,1,2,3,1.35,1.5,1,4,1,999,1,1,1,,,,74,75,1,1,,2,2,,,,4,,,,2,,,,1,2,1,2,2,2,2,,1,,3000000
"00dc3a212a1f40698656b2dc7cc97a85",2,1,1,1,0.42,0.25,1,4,9,999,1,1,1,,,,100,100,2,,,2,2,,,,4,,,,2,,,,1,,1,,2,2,2,,1,,1000000
"0142f6f0c8f9435c97ac2563a6f390ec",2,1,1,1,0.93,1,1,1,2,999,1,2,2,,,,100,100,2,,,2,2,,,,4,,,,2,,,,1,,1,,1,2,2,,1,,5000000
"0182fc7b5eb44c44aef16c3a178fb762",1,1,1,3,,0.25,2,4,2,999,1,5,5,3,3,,,,2,,,2,1,2,6,,4,,,,2,,,,1,,1,,2,2,2,,1,,500000
