"hhid","parcelID","t0_hhid","s2aq05_1","s2aq03_3","a2bq1owned","s2aq03_1","s2aq04","s2aq05","s2aq06","s2aq07","s2aq08","a2bq09","a2bq10","a2bq11","a2bq12a","a2bq12b","a2bq12a_1","a2bq12b_1","a2aq18","s2aq20","s2aq21","s2aq22a","s2aq22b"
"00dc3a212a1f40698656b2dc7cc97a85",3,"H0872",1,2,2,,,,,,,,0,1,,,,,,,,,
"0142f6f0c8f9435c97ac2563a6f390ec",1,"H2832",1,1,2,1,,0.5,2,1,9,,2,1,1,5,,3,2,2,,,
"0142f6f0c8f9435c97ac2563a6f390ec",3,"H2832",1,3,2,,,0.5,3,1,8,60000,1,1,1,1,,,2,2,,,
"01e7608a258e42c7a2f5af8b551bc247",1,"H0826",1,1,2,1,,0.7,2,1,2,,15,2,2,2,,,3,2,,,
"01e7608a258e42c7a2f5af8b551bc247",2,"H0826",1,1,2,3,,1,1,1,8,0,1,1,2,2,,,3,2,,,
"02087846085249d1ae73a1070233c8bb",1,"H0804",1,2,2,,,,,,,,4,1,,,,,,,,,
"024172552bc54600b13887149d11e82c",2,"H3165",1,3,2,,,0.75,2,6,8,0,2,1,1,1,,,2,2,,,
"02449af9963842c8b8f615b2232735b1",1,"H0243",1,1,2,3,,0.5,3,3,8,300000,7,1,1,3,,,2,2,,,
"02449af9963842c8b8f615b2232735b1",4,"H0243",1,1,2,1,,4,1,3,8,0,1,1,1,1,,,2,1,2,1,6
"02868c7da57e46529281d2dae35ee7fd",2,"H1510",1,1,2,1,,1,3,4,8,500000,3,1,1,1,,,2,2,,,
"02efd503602d4d10a508075b811e5913",1,"H2617",1,1,2,1,,0.75,4,1,8,0,10,2,1,5,,3,2,2,,,
"02efd503602d4d10a508075b811e5913",3,"H2617",1,1,2,1,,0.25,4,1,8,150000,0,1,96,1,,,2,2,,,
"02fbc725a3074d0fa9debb7a02ba23fb",2,"H0724",2,3,2,,,0.5,2,1,8,50000,0,1,96,1,,,2,2,,,
"03d9ca9332d545378b468a1883127d8b",1,"H2661",1,1,2,1,,0.5,3,1,8,60000,2,1,1,1,,,2,2,,,
"040b3ad7eb264e30acc111646f03422a",1,"H1499",1,1,2,1,,0.5,1,4,8,0,6,2,1,1,,,2,2,,,
"040b3ad7eb264e30acc111646f03422a",2,"H1499",1,1,2,3,,0.25,1,4,8,0,7,2,1,1,,,2,2,,,
"040b3ad7eb264e30acc111646f03422a",3,"H1499",1,3,2,,,1,1,4,9,,100000,1,96,1,,,2,2,,,
"044116a438c040a898ba43daf6bdc2ea",1,"H0583",2,1,2,1,,2,3,2,8,0,10,1,2,2,,,2,2,,,
"044116a438c040a898ba43daf6bdc2ea",3,"H0583",2,1,2,1,,0.25,3,3,8,0,20,1,2,2,,,2,2,,,
"0442775d8d424d59a433ab5940d510ca",2,"H2780",5,3,2,,,0.25,2,1,8,50000,2,1,1,1,,,2,2,,,
"0442775d8d424d59a433ab5940d510ca",3,"H2780",5,1,2,3,,0.5,3,1,8,100000,5,1,1,1,,,2,2,,,
"0464b7af72994dea923644331716d84e",1,"H1982",2,1,2,3,,1,6,4,8,75000,5,1,96,1,,,2,2,,,
"04c814d7b9cb4aa2b651aa2e31acf4e9",1,"H0938",1,1,2,1,,0.2,2,4,9,,2,1,1,1,,,2,2,,,
"04c814d7b9cb4aa2b651aa2e31acf4e9",2,"H0938",1,1,2,1,,0.5,4,4,9,,2,2,1,1,,,2,2,,,
"052f8d3f81c3477aa9366a24c54ddf83",4,"H2079",1,3,2,,0.5,0.5,1,4,8,160000,0,1,1,1,,,2,2,,,
"054124cd4eff40ec97bf51a44fe4a93c",2,"H3067",2,1,2,3,0.38,0.35,2,1,8,40000,3,1,1,1,,,2,2,,,
"05863e44874d4d0bbe8abdc95d9249b2",3,"H0376",1,1,2,3,,1,2,1,8,100000,0,1,1,1,,,2,2,,,
"06403dbe6bbd4f1e82d16fa705c51b73",1,"H2506",1,2,2,,,,,,,,3,1,,,,,,,,,
"06403dbe6bbd4f1e82d16fa705c51b73",3,"H2506",1,1,2,1,,0.5,2,1,8,30000,1,1,1,5,,2,2,2,,,
"06ca2b010f7a4724a51adc2505df2e10",1,"H0213",2,1,2,3,,0.25,2,2,8,0,6,2,1,1,,,2,2,,,
"06ca2b010f7a4724a51adc2505df2e10",2,"H0213",2,1,2,3,,0.75,3,3,8,0,2,2,1,1,,,2,2,,,
"074abb9330f84c72b0f136f6fc38d00d",2,"H2360",1,1,2,3,,0.5,1,4,8,0,2,2,1,1,,,2,2,,,
"0753ace2876b4833a3bb185a04440fe8",1,"H0444",2,1,2,1,,0.5,2,1,8,120000,9,1,1,1,,,2,2,,,
"0753ace2876b4833a3bb185a04440fe8",2,"H0444",2,1,2,1,,0.5,3,1,8,140000,9,1,1,1,,,2,2,,,
"078096ed82bd4b369317a5c4329d7dd8",1,"H2056",1,1,2,1,0.75,0.75,2,4,4,,5,2,96,1,,,2,2,,,
"07b346723489448b99ea7d75a5cd2458",1,"H0935",2,1,2,3,,1,3,1,9,,5,1,5,1,3,,2,2,,,
"07b346723489448b99ea7d75a5cd2458",2,"H0935",2,1,2,3,,0.5,3,1,9,,2,1,5,1,3,,2,2,,,
"07b6c4f12d054292b7b786ef2dd45835",1,"H0922",5,1,2,1,,1,2,2,9,,10,2,1,1,,,2,2,,,
"083ade125b70414ba6257ff498afe1f4",2,"H2354",2,1,2,1,,1,1,4,8,150000,2,1,1,1,,,2,2,,,
"088d7d7eb37b4683b391bf34b48482d2",1,"H0381",2,1,2,3,1.11,1.5,1,1,8,0,0,2,2,2,,,2,2,,,
"08f5b8dae9774128b354032393f6d40f",2,"H1202",1,3,2,,,0.5,2,4,8,0,1,2,1,1,,,2,2,,,
"08fbc3b8e815467dbc0727e5da6aa1c7",1,"H0647",1,1,2,1,,0.5,4,1,9,,8,1,1,1,,,2,2,,,
"08fbc3b8e815467dbc0727e5da6aa1c7",2,"H0647",1,1,2,1,,1,4,1,8,120000,9,2,1,1,,,2,2,,,
"08fbc3b8e815467dbc0727e5da6aa1c7",4,"H0647",1,1,2,1,,0.25,4,1,9,,8,2,1,1,,,2,2,,,
"0aa52ee740e54bc18a97dea9206c4dfb",4,"H0411",1,1,2,1,,0.5,2,1,8,160000,8,1,1,1,,,2,2,,,
"0aaa3c3864af4ed5976f59eea475f982",1,"H2201",1,1,2,3,,0.35,4,4,8,50000,1,2,1,1,,,2,2,,,
"0ab0754b5398494b863f05891f237892",2,"H1776",2,1,2,1,,1,2,4,8,40000,2,2,1,5,,1,2,2,,,
"0ab0754b5398494b863f05891f237892",8,"H1776",2,1,2,1,,2,4,4,8,150000,0,1,5,1,2,,2,2,,,
"0ab0754b5398494b863f05891f237892",9,"H1776",1,1,2,1,,1.5,3,4,8,40000,1,1,1,5,,1,2,2,,,
"0ab702b9c7c04f3786e3af7ff5949cc1",1,"H0589",1,1,2,1,,1,1,1,9,,14,2,1,1,,,2,2,,,
"0ab702b9c7c04f3786e3af7ff5949cc1",2,"H0589",1,1,2,1,,1.5,1,1,2,,14,2,1,1,,,2,2,,,
"0ab702b9c7c04f3786e3af7ff5949cc1",3,"H0589",1,1,2,1,,1,1,1,8,0,7,2,1,1,,,2,2,,,
"0b3b982602d04173ad3b1e70959cbfd3",1,"H0746",1,1,2,3,,0.5,2,1,8,0,5,2,1,5,,3,2,2,,,
"0b3b982602d04173ad3b1e70959cbfd3",2,"H0746",1,1,2,3,,1.5,1,1,8,0,6,2,2,2,,,2,2,,,
