"hhid","parcelID","pltid","s3aq03","s2aq04_1","s3aq03_1","s3aq03_2","s3aq03_3","s3aq03_4a","s3aq03_4b","s3aq03a","s3aq04","s3aq04a","s3aq05","s3aq06","s3aq07","s3aq08","s3aq09","s3aq12","s3aq13","s3aq14","s3aq14a","s3aq15","s3aq16","s3aq17","s3aq18","s3aq19","s3aq22","s3aq23","s3aq24a","s3aq24b","s3aq25","s3aq26","s3aq27","s3aq28","s3aq34","s3aq35a","s3aq35b","s3aq35c","s3aq36","s4aq07"
"0007d1f1449242feb5a25429644fb991",1,1,"NINO",1.79,6,1,1,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,0,3,0,70000,1.79
"0010cbae3cea4ec9831f6cd92b02dc16",6,1,"Cassava",0.65,4,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.65
"0010cbae3cea4ec9831f6cd92b02dc16",1,1,"Field peas",,1,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,1
"0010cbae3cea4ec9831f6cd92b02dc16",7,1,"Sunflower",,4,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,14,12,0,78000,1
"0010cbae3cea4ec9831f6cd92b02dc16",2,1,"Soya Beans",0.83,4,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,8,0,0,24000,0.83
"0010cbae3cea4ec9831f6cd92b02dc16",5,1,"Maize",0.78,4,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,1
"00246782f8654441a9df0f6ec0b6fc9f",2,1,"sheas",0.68,2,1,2,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.68
"00246782f8654441a9df0f6ec0b6fc9f",3,1,"cotton",0.7,2,1,2,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.7
"0060071f3f414406af7312d68eae8513",1,1,"Rented out",,3,2,,1,3,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,4.7
"0060071f3f414406af7312d68eae8513",1,2,"banana",0.5,3,2,,1,3,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.5
"009c1baa0edb44f8af47773ce0b7caaa",1,1,"Bananas",0.65,1,1,1,,,1,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.65
"00b48fb6bcf84dd581bd7b2be5f908a0",1,1,"MIXED PLOT",1,1,1,1,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.75
"00b48fb6bcf84dd581bd7b2be5f908a0",1,2,"SWEETPOTATOES",,1,1,1,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.25
"00d5da8bbd544c548a71f176496ee4b6",1,1,"NWAGI.ARANGA",,1,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.5
"00d5da8bbd544c548a71f176496ee4b6",1,2,"MOGO",,1,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.5
"00dc3a212a1f40698656b2dc7cc97a85",3,1,"SOYA",,1,2,,1,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.5
"00dc3a212a1f40698656b2dc7cc97a85",2,1,"MAIZE",0.42,1,2,,1,,2,1,1,100,2,,,,96,2,,,,,,,,2,,,,,,,,2,,,,,0.42
"0142f6f0c8f9435c97ac2563a6f390ec",1,1,"BEANS/ MAIZE/ CASSAVA",,1,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.5
"0142f6f0c8f9435c97ac2563a6f390ec",3,1,"Millet",,1,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,0,2,0,10000,0.5
"0142f6f0c8f9435c97ac2563a6f390ec",2,1,"BANANA FOOD AND COFFEE",0.93,1,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.93
"0182fc7b5eb44c44aef16c3a178fb762",2,1,"Cassava",,1,1,1,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.25
"018d29620fa44db282c80b6627413e5c",1,1,"NOT CULTIVATED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0192cb54d502450ca603738439bf616f",2,1,"MATOOKE, COFFEE AND BEANS PLOT",,8,1,1,,,2,1,1,50,2,,,,1,2,,,,,,,,2,,,,,,,,2,,,,,0.45
"0192cb54d502450ca603738439bf616f",1,1,"BANANA PLOT",,1,1,1,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,10,0,0,80000,0.25
