"hhid","parcelID","pltid","s3aq03b","s3bq03_1","s2aq05_211_1","s2aq04_1_1","s3bq03_2","s3bq03_3","s3bq03_4a","s3bq03_4b","s3bq03a","s3bq04","s3bq04a","s3bq05","s3bq06","s3bq07","s3bq08","s3bq09","s3bq12","s3bq13","s3bq14","s3bq13a","s3bq15","s3bq16","s3bq17","s3bq18","s3bq19","s3bq22","s3bq23","s3bq24a","s3bq24b","s3bq25","s3bq26","s3bq27","s3bq28","s3bq34","s3bq35a","s3bq35b","s3bq35c","s3bq36","s4bq07"
"0007d1f1449242feb5a25429644fb991",2,3,"PAMBA",6,1,1.03,1,1,,,2,2,,,,,,,,2,,,,,,,,1,2,2,7,1,1,40000,2,1,3,3,0,40000,1.03
"0007d1f1449242feb5a25429644fb991",2,1,"SOYA",6,1,0.95,1,1,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,3,3,0,30000,0.95
"0007d1f1449242feb5a25429644fb991",2,2,"ICOK",6,1,0.49,1,1,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.49
"0007d1f1449242feb5a25429644fb991",1,2,"APENA",6,1,2.06,1,1,,,2,2,,,,,,,,2,,,,,,,,1,2,2,3,1,1,20000,2,1,1,1,0,13000,2.06
"0007d1f1449242feb5a25429644fb991",1,1,"MWOGO",6,1,0.92,1,1,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,1,1,0,12000,0.92
"0010cbae3cea4ec9831f6cd92b02dc16",6,2,"Cassava-old",1,2,,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.65
"0010cbae3cea4ec9831f6cd92b02dc16",5,1,"Soya Beans",1,1,0.83,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.83
"0010cbae3cea4ec9831f6cd92b02dc16",4,1,"Pigeon peas",1,2,,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,8,8,0,40000,1.26
"0010cbae3cea4ec9831f6cd92b02dc16",2,1,"Soya Beans",1,2,,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,6,4,0,30000,0.83
"0010cbae3cea4ec9831f6cd92b02dc16",1,1,"Beans",1,2,,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,4,0,0,12000,0.75
"0010cbae3cea4ec9831f6cd92b02dc16",6,1,"Cassava-New",1,2,,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,4,2,0,20000,0.75
"0010cbae3cea4ec9831f6cd92b02dc16",7,1,"Soya Beans",1,2,,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,8,12,0,45000,3
