"hhid","parcelID","pltid","cropID","s4bq01","s4bq06_1","s4bq07","s4bq08","s4bq09","s4bq09_1","s4bq09_2","s4bq16","s4bq11a","s4bq11b","s4bq12a","s4bq12b","s4bq13","s4bq14","s4bq10","s4bq15"
"0007d1f1449242feb5a25429644fb991",1,1,630,1,6,0.92,1,,4,2019,1,3,10,,,2,2,2,
"0007d1f1449242feb5a25429644fb991",1,2,223,1,6,2.06,2,50,4,2019,1,8,1,12,1,1,,2,
"0007d1f1449242feb5a25429644fb991",1,2,320,1,6,2.06,2,50,4,2019,1,1,22,2,22,1,,2,
"0007d1f1449242feb5a25429644fb991",2,1,320,1,6,0.95,1,,4,2019,1,1,22,,,1,,2,
"0007d1f1449242feb5a25429644fb991",2,2,620,1,6,0.49,1,,5,2019,1,3,12,,,1,,2,
"0007d1f1449242feb5a25429644fb991",2,3,520,1,6,1.03,1,,5,2019,1,5,1,,,2,2,1,5000
"0010cbae3cea4ec9831f6cd92b02dc16",1,1,210,1,1,0.75,1,,3,2019,1,12,1,,,1,,2,
"0010cbae3cea4ec9831f6cd92b02dc16",2,1,320,1,1,0.83,1,,5,2019,1,17,1,,,1,,2,
"0010cbae3cea4ec9831f6cd92b02dc16",4,1,223,1,1,1.26,1,,5,2015,1,12,1,,,1,,2,
"0010cbae3cea4ec9831f6cd92b02dc16",5,1,320,1,1,0.83,1,,4,2019,1,10,1,,,1,,2,
"0010cbae3cea4ec9831f6cd92b02dc16",6,1,630,1,1,0.75,1,,6,2019,1,3,9,,,1,,2,
"0010cbae3cea4ec9831f6cd92b02dc16",6,2,630,1,1,0.65,1,,3,2018,2,,,,,,,,
"0010cbae3cea4ec9831f6cd92b02dc16",7,1,320,1,1,3,1,,5,2019,1,25,1,,,1,,2,
"00246782f8654441a9df0f6ec0b6fc9f",2,1,130,1,2,0.68,1,,5,2018,1,4,1,,,2,1,1,60000
"00246782f8654441a9df0f6ec0b6fc9f",3,1,630,1,2,0.7,1,,5,2018,1,0.5,10,,,1,,1,20000
"0060071f3f414406af7312d68eae8513",1,1,210,1,3,0.5,2,20,3,2019,1,2,1,10,1,1,,2,
"0060071f3f414406af7312d68eae8513",1,1,130,1,3,0.5,2,20,3,2019,1,1,1,5,1,1,,2,
"0060071f3f414406af7312d68eae8513",1,1,741,1,3,0.5,2,50,1,9998,2,,,,,,,,
"0060071f3f414406af7312d68eae8513",1,1,630,1,3,0.5,2,10,1,2019,1,1,20,5,20,1,,2,
"008c674975f24ea79f50e30cbd4ee635",2,1,330,1,5,1,2,30,4,2019,1,1,29,2,29,1,,1,3000
"008c674975f24ea79f50e30cbd4ee635",2,1,150,1,5,1,2,70,4,2019,1,2,29,2,29,1,,2,
"008c674975f24ea79f50e30cbd4ee635",3,1,330,1,5,1,2,30,5,2019,1,1,29,2,29,1,,1,3000
"008c674975f24ea79f50e30cbd4ee635",3,1,150,1,5,1,2,70,5,2019,1,2,29,2,29,1,,2,
"009c1baa0edb44f8af47773ce0b7caaa",1,1,812,1,1,0.65,2,20,8,9998,2,,,,,,,,
"009c1baa0edb44f8af47773ce0b7caaa",1,1,210,1,1,0.65,2,30,2,2019,1,6,1,12,1,1,,2,
"009c1baa0edb44f8af47773ce0b7caaa",1,1,741,1,1,0.65,2,50,8,9998,2,,,,,,,,
"00b48fb6bcf84dd581bd7b2be5f908a0",1,1,210,1,1,0.76,2,5,4,2019,1,1,31,40,31,1,,2,
"00b48fb6bcf84dd581bd7b2be5f908a0",1,1,630,1,1,0.76,2,10,3,2019,1,1,12,10,12,1,,2,
"00b48fb6bcf84dd581bd7b2be5f908a0",1,1,130,1,1,0.76,2,5,4,2019,1,1,31,40,31,1,,2,
"00b48fb6bcf84dd581bd7b2be5f908a0",1,1,811,1,1,0.76,2,50,1,9998,2,,,,,,,,
"00b48fb6bcf84dd581bd7b2be5f908a0",1,1,744,1,1,0.76,2,10,1,2016,2,,,,,,,,
"00b48fb6bcf84dd581bd7b2be5f908a0",1,1,741,1,1,0.76,2,20,1,2016,2,,,,,,,,
"00b48fb6bcf84dd581bd7b2be5f908a0",1,2,620,1,1,0.24,1,,5,2019,1,1,12,,,1,,2,
"00cb487f12014891b3efa5c8679d18ab",2,1,130,1,2,1,1,,3,2019,1,1,22,,,1,,1,20000
"00cb487f12014891b3efa5c8679d18ab",3,1,210,1,2,0.5,1,,6,2019,1,20,96,,,1,,1,37000
"00d5da8bbd544c548a71f176496ee4b6",1,1,130,1,2,0.4,2,45,4,2019,1,10,96,15,99,1,,1,5000
"00d5da8bbd544c548a71f176496ee4b6",1,1,224,1,2,0.4,2,55,5,2019,1,10,96,15,99,1,,1,13000
"00d5da8bbd544c548a71f176496ee4b6",1,2,630,1,2,0.16,1,,4,2019,1,1,10,,,1,,2,
"00d5da8bbd544c548a71f176496ee4b6",1,3,620,1,2,0.06,1,,6,2019,1,6,66,,,1,,2,
"00d5da8bbd544c548a71f176496ee4b6",1,4,520,1,2,0.4,1,,6,2019,1,3,1,,,1,,1,5000
"00dc3a212a1f40698656b2dc7cc97a85",2,1,130,1,1,0.42,1,,3,2019,1,4,1,,,1,,2,
"0142f6f0c8f9435c97ac2563a6f390ec",2,1,741,1,1,0.93,2,30,1,9998,2,,,,,,,,
"0142f6f0c8f9435c97ac2563a6f390ec",2,1,812,1,1,0.93,2,70,1,9998,2,,,,,,,,
"0142f6f0c8f9435c97ac2563a6f390ec",3,1,210,1,1,0.5,1,,2,2019,1,12,1,,,1,,2,
"0182fc7b5eb44c44aef16c3a178fb762",2,1,630,1,1,0.25,1,,3,2018,2,,,,,,,,
