"hhid","parcelID","pltid","cropID","s5aq05_1","s5aq05_2","harvest","s5aq06b_1","s5aq06a_1","s5aq06c_1","s5aq06d_1","s5aq06e_1","s5aq06e_1_1","s5aq06f_1","s5aq06f_1_1","s5aq06a_1_1","s5aq06a_2_1","s5aq06a3_1","s5aq06a4_1","s5aq07a_1","s5aq07b_1","s5aq07c_1","s5aq08_1","s5aq09_1","s5aq10_1","s5aq11e_1","s5aq11f_1","s5aq11g_1","s5aq11h_1","s5aq12_1","s5aq13_1","s5aq14a_1","s5aq14b_1","s5aq15_1","s5aq16_1","s5aq17_1","s5aq18_1","s5aq19_1","s5aq20_1","s5aq21_1","s5aq22_1","s5aq23a_1","s5aq23b_1","s5aq06b_2","s5aq06a_2","s5aq06c_2","s5aq06d_2","s5aq06e_2","s5aq06e_1_2","s5aq06f_2","s5aq06f_1_2","s5aq06a_1_2","s5aq06a_2_2","s5aq06a3_2","s5aq06a4_2","s5aq07a_2","s5aq07b_2","s5aq07c_2","s5aq08_2","s5aq09_2","s5aq10_2","s5aq11e_2","s5aq11f_2","s5aq11g_2","s5aq11h_2","s5aq12_2","s5aq13_2","s5aq14a_2","s5aq14b_2","s5aq15_2","s5aq16_2","s5aq17_2","s5aq18_2","s5aq19_2","s5aq20_2","s5aq21_2","s5aq23a_2","s5aq23b_2","harvest1","s5aq06b_11","s5aq06a_11","s5aq06c_11","s5aq06d_11","s5aq06e_11","s5aq06e_1_11","s5aq06f_11","s5aq06f_1_11","s5aq06a_1_11","s5aq06a_2_11","s5aq06a3_11","s5aq06a4_11","s5aq07a_11","s5aq07b_11","s5aq07c_11","s5aq08_11","s5aq09_11","s5aq10_11","s5aq11e_11","s5aq11f_11","s5aq11g_11","s5aq11h_11","s5aq12_11","s5aq13_11","s5aq14a_11","s5aq14b_11","s5aq15_11","s5aq16_11","s5aq17_11","s5aq18_11","s5aq19_11","s5aq20_11","s5aq21_11","s5aq22_11","s5aq23a_11","s5aq23b_11","s5aq06b_21","s5aq06a_21","s5aq06c_21","s5aq06d_21","s5aq06e_21","s5aq06e_1_21","s5aq06f_21","s5aq06f_1_21","s5aq06a_1_21","s5aq06a_2_21","s5aq06a3_21","s5aq06a4_21","s5aq07a_21","s5aq07b_21","s5aq07c_21","s5aq08_21","s5aq09_21","s5aq10_21","s5aq11e_21","s5aq11f_21","s5aq11g_21","s5aq11h_21","s5aq12_21","s5aq13_21","s5aq14a_21","s5aq14b_21","s5aq15_21","s5aq16_21","s5aq17_21","s5aq18_21","s5aq19_21","s5aq20_21","s5aq21_21","s5aq23a_21","s5aq23b_21"
"0007d1f1449242feb5a25429644fb991",1,1,340,6,2,1,9,5,35,120,12,2018,12,2018,1,1,,,3,35,9,600000,2,0,1,1,,,0,2,0,0,0,0,,3,2,,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0010cbae3cea4ec9831f6cd92b02dc16",1,1,221,4,2,1,1,115,45,1,12,2018,12,2018,2,,1,2,80,45,1,112000,4,0,2,,1,2,0,15,0,0,0,0,,4,2,,20,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0010cbae3cea4ec9831f6cd92b02dc16",2,1,320,4,2,1,1,480,45,1,12,2018,1,2019,2,,1,2,480,45,1,480000,3,0,2,,1,2,0,0,0,0,0,0,,4,2,,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0010cbae3cea4ec9831f6cd92b02dc16",5,1,130,4,2,1,1,80,45,1,11,2018,12,2018,2,,1,2,0,,,,,,,,,,10,60,0,0,0,0,,4,2,,10,,2,,22,2,23,6,11,2018,12,2018,2,,1,2,0,,,,,,,,,,0,2,0,0,0,0,,6,2,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0010cbae3cea4ec9831f6cd92b02dc16",6,1,630,4,2,1,9,3,20,100,10,2018,3,2019,2,,1,2,0,,,,,,,,,,0,3,0,0,0,0,,6,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0010cbae3cea4ec9831f6cd92b02dc16",7,1,330,4,2,1,1,530,45,1,12,2018,1,2019,2,,1,2,530,45,1,530000,3,0,2,,1,2,0,0,0,0,0,0,,4,2,,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00246782f8654441a9df0f6ec0b6fc9f",2,1,890,2,2,1,,2.5,40,1,11,2018,11,2018,1,2,,,0,,,,,,,,,,0,0,0,0,0,0,,4,2,,2.5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00246782f8654441a9df0f6ec0b6fc9f",3,1,520,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0060071f3f414406af7312d68eae8513",1,2,130,3,2,1,20,1,45,20,11,2018,11,2018,1,3,,,0,,,,,,,,,,0,1,0,0,0,0,,4,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0060071f3f414406af7312d68eae8513",1,2,210,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0060071f3f414406af7312d68eae8513",1,2,630,3,2,2,12,1,20,40,12,2018,6,2019,1,3,,,0,,,,,,,,,,0,1,0,0,0,0,,6,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,1,20,50,11,2018,6,2019,1,3,,,0,,,,,,,,,,0,0,1,0,0,0,,6,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0060071f3f414406af7312d68eae8513",1,2,741,3,2,1,69,15,20,6,7,2018,12,2018,2,,3,,0,,,,,,,,,,0,15,0,0,0,0,,6,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"009c1baa0edb44f8af47773ce0b7caaa",1,1,741,1,2,1,68,108,20,15,7,2018,12,2018,1,1,,,30,20,68,250000,2,0,1,1,,,0,78,0,0,0,0,,6,2,,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"009c1baa0edb44f8af47773ce0b7caaa",1,1,812,1,2,1,20,6,24,20,7,2018,8,2018,1,1,,,6,24,20,150000,2,0,1,1,,,0,0,0,0,0,0,,4,2,,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
