"hhid","LiveStockID","s6aq01","s6aq03a","s6aq03b","s6aq03c","s6aq03d","s6aq03e","s6aq03f","s6aq04a","s6aq04b","s6aq04c","s6aq06","s6aq07","s6aq08","s6aq09","s6aq10","s6aq11","s6aq12","s6aq13a","s6aq13b","s6aq14a","s6aq14b","s6aq15","s6aq15b","s6aq15c","s6aq16"
"0007d1f1449242feb5a25429644fb991",6,1,1,1,,6,7,2,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,1
"0007d1f1449242feb5a25429644fb991",8,1,2,1,,6,7,2,0,,,2,0,0,0,0,0,0,0,,0,,0,1,,1
"0007d1f1449242feb5a25429644fb991",9,1,1,1,,7,6,2,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,1
"0007d1f1449242feb5a25429644fb991",10,1,3,1,,6,7,2,0,,,3,0,0,0,0,0,0,0,,0,,0,1,,1
"0010cbae3cea4ec9831f6cd92b02dc16",6,1,1,1,,1,4,2,0,,,1,0,0,0,0,0,0,0,,0,,0,1,2,1
"0010cbae3cea4ec9831f6cd92b02dc16",7,1,2,1,2,1,4,2,0,,,2,0,0,0,0,0,0,0,,0,,0,5,,2
"0010cbae3cea4ec9831f6cd92b02dc16",10,1,1,1,2,1,4,2,0,,,1,0,0,0,0,0,0,0,,0,,0,2,5,2
"00246782f8654441a9df0f6ec0b6fc9f",10,1,1,1,2,1,2,2,1,1,2,1,0,0,0,0,0,0,0,,0,,0,1,2,1
"00246782f8654441a9df0f6ec0b6fc9f",7,1,2,1,2,1,2,2,0,,,1,1,0,0,0,0,0,0,,0,,0,1,,2
"008c674975f24ea79f50e30cbd4ee635",9,1,1,1,,2,4,1,0,,,0,1,0,0,0,0,0,0,,0,,0,6,4,1
"008c674975f24ea79f50e30cbd4ee635",10,1,1,1,,2,4,1,0,,,1,0,0,0,0,0,0,0,,0,,0,6,4,1
"00cb487f12014891b3efa5c8679d18ab",7,1,2,1,2,1,2,1,0,,,2,0,0,0,0,0,0,0,,0,,0,1,,2
"00cb487f12014891b3efa5c8679d18ab",10,1,2,1,2,1,2,2,0,,,2,0,0,0,0,0,0,0,,0,,0,1,2,2
"014cbd0c0b844976888438f7ea74aa69",10,1,1,1,,1,,1,0,,,2,0,0,0,1,0,0,0,,0,,0,1,6,1
"014cbd0c0b844976888438f7ea74aa69",7,1,1,1,,1,,1,0,,,1,0,0,0,0,0,0,0,,0,,0,6,5,1
