"hhid","ALiveStock_Small_ID","s6bq01","s6bq03a","s6bq03b","s6bq03c","s6bq03d","s6bq03e","s6bq03f","s6bq04a","s6bq04b","s6bq04c","s6bq06","s6bq07","s6bq08","s6bq09","s6bq10","s6bq11","s6bq12","s6bq13a","s6bq13b","s6bq14a","s6bq14b","s6bq15","s6bq15b","s6bq15c","s6bq16"
"0007d1f1449242feb5a25429644fb991",22,1,3,1,,6,7,2,0,,,1,0,0,0,0,0,0,2,0,0,,0,1,,1
"0007d1f1449242feb5a25429644fb991",19,1,4,1,,6,7,2,0,,,8,0,0,0,0,0,0,0,,4,170000,0,1,,1
"0007d1f1449242feb5a25429644fb991",18,1,4,1,,6,7,2,0,,,4,0,0,0,0,0,0,0,,0,,0,1,,1
"0010cbae3cea4ec9831f6cd92b02dc16",18,1,1,1,2,1,4,2,0,,,0,1,0,0,0,0,0,0,,0,,0,4,5,2
"0010cbae3cea4ec9831f6cd92b02dc16",19,1,3,1,2,1,4,2,0,,,2,1,0,0,0,0,0,0,,0,,0,4,1,2
"0010cbae3cea4ec9831f6cd92b02dc16",22,1,4,1,4,1,4,2,0,,,1,6,0,0,0,2,0,0,,1,50000,0,1,4,2
"00246782f8654441a9df0f6ec0b6fc9f",19,1,2,1,2,1,2,2,0,,,1,1,0,0,0,0,0,0,,0,,0,1,,2
"00246782f8654441a9df0f6ec0b6fc9f",21,1,2,1,2,1,2,2,0,,,2,0,0,0,0,0,0,0,,0,,0,1,,2
"008c674975f24ea79f50e30cbd4ee635",21,1,3,1,2,2,4,1,0,,,2,1,0,0,0,0,0,0,,0,,0,6,4,1
"008c674975f24ea79f50e30cbd4ee635",19,1,2,1,,2,4,1,0,,,3,0,0,0,0,0,1,0,,0,,0,6,4,1
"009c1baa0edb44f8af47773ce0b7caaa",22,1,1,1,,1,,2,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,1
"009c1baa0edb44f8af47773ce0b7caaa",19,1,1,1,,1,,2,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,1
"00cb487f12014891b3efa5c8679d18ab",19,1,3,1,2,1,2,2,0,,,3,0,0,0,0,0,0,0,,0,,0,1,,2
"0142f6f0c8f9435c97ac2563a6f390ec",19,1,3,2,,2,,2,0,,,1,2,0,0,0,0,0,0,,0,,0,1,,2
"0182fc7b5eb44c44aef16c3a178fb762",21,1,1,1,,1,,2,0,,,1,0,0,0,0,0,0,0,,0,,0,6,,1
"0182fc7b5eb44c44aef16c3a178fb762",20,1,1,1,,1,,2,0,,,0,1,0,0,0,0,0,0,,0,,0,6,,1
"018d29620fa44db282c80b6627413e5c",19,1,10,1,,1,2,1,0,,,11,3,0,0,0,0,4,0,,0,,0,1,5,2
"018d29620fa44db282c80b6627413e5c",21,1,2,1,,2,,1,3,2,,3,0,0,0,0,0,1,0,,0,,0,6,5,1
"0192cb54d502450ca603738439bf616f",22,1,1,8,,8,,1,0,,,0,0,0,0,0,0,0,1,50000,0,,0,1,,2
"019f06d347d04d5fa22f1846aba0c59b",21,1,12,1,2,1,2,2,0,,,8,4,0,0,0,0,0,0,,0,,0,1,,1
"019f06d347d04d5fa22f1846aba0c59b",20,1,1,1,2,1,2,2,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,1
"019f06d347d04d5fa22f1846aba0c59b",19,1,5,1,2,1,2,2,0,,,4,2,0,0,0,0,0,0,,1,160000,0,1,,1
"01d0f651c2534a1f8355b9e10e0e9dcb",19,1,3,1,,1,,2,0,,,4,0,0,0,0,0,0,0,,1,120000,0,1,6,1
"01d54a65224747fba33cf7b310c7435e",21,1,20,1,2,1,2,2,0,,,17,5,0,0,0,0,2,0,,0,,0,6,1,2
"01d54a65224747fba33cf7b310c7435e",18,1,4,1,2,1,2,2,0,,,4,0,0,0,0,0,0,0,,0,,0,6,1,2
"01d54a65224747fba33cf7b310c7435e",20,1,1,1,2,1,2,2,0,,,1,0,0,0,0,0,0,0,,0,,0,6,1,2
"01d54a65224747fba33cf7b310c7435e",19,1,10,1,2,1,2,2,0,,,9,5,0,0,0,0,2,0,,2,250000,0,6,1,2
"01e7608a258e42c7a2f5af8b551bc247",19,1,2,1,,1,,2,2,1,,1,1,0,0,0,0,0,0,,0,,0,1,,1
"0222b766ba3d494fbf6fe07cf260dac4",19,1,4,1,2,1,2,2,0,,,6,0,0,0,0,0,0,0,,2,85000,0,4,1,2
"0222b766ba3d494fbf6fe07cf260dac4",22,1,4,1,2,1,2,2,0,,,4,6,0,0,0,0,0,0,,6,110000,0,1,,2
"0222b766ba3d494fbf6fe07cf260dac4",18,1,2,1,2,1,2,2,0,,,2,2,0,0,0,0,0,0,,2,85000,0,4,1,2
"02449af9963842c8b8f615b2232735b1",19,1,1,1,2,1,2,2,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,2
"02449af9963842c8b8f615b2232735b1",18,1,1,1,2,1,2,2,0,,,0,1,0,0,0,0,0,0,,0,,0,1,,1
"02449af9963842c8b8f615b2232735b1",22,1,6,1,2,1,2,2,0,,,1,6,0,0,0,1,0,0,,0,,0,1,,2
"02868c7da57e46529281d2dae35ee7fd",22,1,1,1,,1,,2,0,,,0,0,0,0,0,0,0,1,40000,0,,0,1,5,1
"02fbc725a3074d0fa9debb7a02ba23fb",22,1,2,2,,2,,2,0,,,1,7,0,1,0,0,1,0,,4,30000,0,1,,1
"032de3aed1c34dd5840aba975a5a4468",22,1,1,1,,1,,2,0,,,1,9,0,0,0,0,9,0,,0,,0,1,,2
"0368af34cb614bae9ef98c927741984d",22,1,12,1,,1,,2,0,,,12,8,0,0,0,0,0,0,,8,50000,0,1,5,1
"03b2600846004af6ba212269261907a2",22,1,3,1,,1,,2,0,,,1,0,0,0,0,0,0,2,40000,0,,0,1,,2
"03b2600846004af6ba212269261907a2",19,1,1,1,,1,,2,0,,,0,0,0,0,0,0,0,1,60000,0,,0,1,,2
"03d9ca9332d545378b468a1883127d8b",22,1,3,,,,,2,0,,,2,0,0,0,0,0,0,3,60000,2,250000,0,1,5,1
"03d9ca9332d545378b468a1883127d8b",19,1,6,,,,,2,0,,,4,3,0,0,0,0,0,0,,1,80000,0,1,5,1
"040b3ad7eb264e30acc111646f03422a",18,1,1,1,,1,,2,0,,,0,1,0,0,0,0,0,0,,0,,0,1,,2
"040b3ad7eb264e30acc111646f03422a",19,1,1,1,,1,,2,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,2
"044116a438c040a898ba43daf6bdc2ea",18,1,1,1,2,1,2,2,0,,,0,1,0,0,0,0,0,0,,0,,0,1,,1
"044116a438c040a898ba43daf6bdc2ea",19,1,3,1,2,1,2,2,0,,,2,1,0,0,0,0,0,0,,0,,0,1,,1
"046067ad635647c5a02c03f1790df520",18,1,1,1,2,2,6,2,0,,,0,1,0,0,0,0,0,0,,0,,0,1,,1
"046067ad635647c5a02c03f1790df520",19,1,7,1,2,2,6,2,0,,,6,1,0,0,0,0,0,0,,0,,0,1,,2
"0464b7af72994dea923644331716d84e",21,1,5,1,,9,,2,0,,,3,2,0,0,0,0,0,0,,0,,0,5,1,2
"0464b7af72994dea923644331716d84e",19,1,4,1,,9,,2,0,,,3,1,0,0,0,0,0,0,,0,,0,1,5,2
"0464b7af72994dea923644331716d84e",22,1,5,1,,2,4,2,0,,,1,8,0,0,0,0,0,0,,4,75000,0,1,5,2
"0495834806fb40adb50e0fd619ef5094",13,1,2,1,2,1,2,2,0,,,0,1,0,0,0,0,0,1,60000,0,,0,1,,2
"0495834806fb40adb50e0fd619ef5094",14,1,2,1,2,1,2,2,0,,,1,1,0,0,0,0,0,0,,0,,0,1,,2
"04b011de772e4ce08e33e461bb1741eb",19,1,30,1,2,1,2,2,0,,,30,0,0,0,0,0,0,0,,0,,0,1,,1
"04b011de772e4ce08e33e461bb1741eb",21,1,20,1,2,1,2,2,0,,,20,0,0,0,0,0,0,0,,0,,0,1,6,1
"04b011de772e4ce08e33e461bb1741eb",18,1,2,1,2,1,2,2,0,,,2,0,0,0,0,0,0,0,,0,,0,1,3,1
"04b011de772e4ce08e33e461bb1741eb",20,1,10,1,2,1,2,2,0,,,10,0,0,0,0,0,0,0,,0,,0,1,,1
"04bfccbfe0c64dfebc28097777937f16",18,1,2,1,,1,,2,0,,,0,0,0,0,0,0,0,2,100000,0,,0,1,3,2
"04bfccbfe0c64dfebc28097777937f16",19,1,3,1,,1,,2,0,,,3,0,0,0,0,0,0,0,,0,,0,1,,2
"04c814d7b9cb4aa2b651aa2e31acf4e9",18,1,0,,,,,,0,,,1,0,0,0,0,0,0,0,,1,200000,0,1,5,2
"04c814d7b9cb4aa2b651aa2e31acf4e9",19,1,3,1,,1,,2,0,,,2,1,0,0,0,0,0,0,,0,,0,1,,2
"04d55903a5d448c3953d1d1ceda1084d",19,1,3,5,,2,5,2,0,,,4,0,0,1,0,0,0,0,,0,,0,5,,1
"04d55903a5d448c3953d1d1ceda1084d",18,1,2,5,,2,5,2,0,,,2,1,0,0,0,1,0,0,,0,,0,6,5,1
"04ee28189feb42c6a75acb852661aef1",22,1,2,1,,1,,1,0,,,0,0,0,0,0,0,0,2,50000,0,,0,1,6,1
"051abf68db894b34a1ecfa22bd2a2509",19,1,11,1,2,1,2,2,0,,,9,2,0,0,0,0,0,0,,0,,0,1,6,1
"051abf68db894b34a1ecfa22bd2a2509",18,1,2,1,2,1,2,2,0,,,1,1,0,0,0,0,0,0,,0,,0,6,5,1
"051abf68db894b34a1ecfa22bd2a2509",22,1,1,1,2,1,2,2,0,,,1,4,0,0,0,0,4,0,,0,,0,6,5,1
"051abf68db894b34a1ecfa22bd2a2509",21,1,2,1,2,1,2,2,0,,,2,0,0,0,0,0,0,0,,0,,0,6,5,1
"054124cd4eff40ec97bf51a44fe4a93c",19,1,5,2,,2,,2,0,,,3,2,0,0,0,0,0,0,,0,,0,5,,2
"054124cd4eff40ec97bf51a44fe4a93c",18,1,1,2,,2,,2,0,,,1,0,0,0,0,0,0,0,,0,,0,5,,2
"05cef9765f92473eb465b6dc4fac72a4",19,1,3,1,3,2,5,2,0,,,3,0,0,0,0,0,0,0,,0,,0,5,1,2
