"hhid","APCode","s6cq01","s6cq03a","s6cq03b","s6cq03c","s6cq03d","s6cq03e","s6cq03f","s6cq04a","s6cq04b","s6cq04c","s6cq06","s6cq07","s6cq08","s6cq09","s6cq10","s6cq11","s6cq12","s6cq13a","s6cq13b","s6cq14a","s6cq14b","s6cq15","s6cq15b","s6cq15c","s6cq16"
"0007d1f1449242feb5a25429644fb991",23,1,20,1,,1,3,2,0,,,10,10,0,0,0,0,0,0,,0,,0,1,,1
"0010cbae3cea4ec9831f6cd92b02dc16",23,1,8,1,2,2,4,2,0,,,2,8,0,0,0,0,0,0,,0,,2,3,,1
"00246782f8654441a9df0f6ec0b6fc9f",23,1,1,1,2,2,,2,0,,,0,0,1,0,0,0,0,0,,0,,0,1,3,1
"003ed8d32f794609919d60d2ed8813e8",23,1,1,3,,3,,2,0,,,1,0,0,0,0,0,0,0,,0,,0,1,3,1
"008c674975f24ea79f50e30cbd4ee635",26,1,5,1,5,1,5,2,0,,,6,0,0,1,0,0,0,0,,0,,0,4,6,1
"00cb487f12014891b3efa5c8679d18ab",23,1,0,,,,,2,0,,,10,0,0,0,0,0,10,0,,0,,0,1,3,1
"00dc3a212a1f40698656b2dc7cc97a85",23,1,8,,,,,2,0,,,30,0,0,0,0,0,22,0,,0,,0,5,1,1
"018d29620fa44db282c80b6627413e5c",23,1,3,1,,2,,2,0,,,8,0,0,0,0,5,0,0,,0,,0,1,5,2
"0192cb54d502450ca603738439bf616f",23,1,3,1,8,5,8,2,0,,,0,0,0,0,0,0,0,3,11000,0,,0,1,3,1
"01d0f651c2534a1f8355b9e10e0e9dcb",23,1,4,1,,1,,2,0,,,2,8,0,0,0,5,0,0,,1,15000,0,1,3,1
"01d54a65224747fba33cf7b310c7435e",23,1,10,1,2,1,2,2,0,,,10,10,0,0,0,0,10,0,,0,,0,6,1,2
"0222b766ba3d494fbf6fe07cf260dac4",23,1,10,1,2,1,2,2,0,,,14,8,0,0,0,0,4,0,,3,20000,5,3,1,1
"02449af9963842c8b8f615b2232735b1",23,1,6,1,2,1,2,2,0,,,8,16,0,0,0,18,0,0,,0,,0,1,3,2
"02449af9963842c8b8f615b2232735b1",27,1,2,1,2,1,2,2,0,,,1,3,0,0,0,1,0,0,,0,,1,1,3,2
"02449af9963842c8b8f615b2232735b1",26,1,3,1,2,1,2,1,0,,,1,2,0,0,0,0,0,0,,0,,0,1,3,2
"025b88ecba4a44279935bd4a0d19bccd",23,1,4,1,,1,4,2,0,,,4,9,0,0,0,6,0,0,,3,7000,0,1,3,1
"02fbc725a3074d0fa9debb7a02ba23fb",23,1,0,,,,,1,4,2,,0,0,0,0,0,0,0,0,,0,,0,1,,1
"03003a6f1ccd4b1290629662229b5d83",23,1,15,1,2,1,2,2,0,,,6,12,0,0,0,0,0,0,,0,,3,3,,1
"034a672611304ed3a91b8a062f4d4046",23,1,4,1,3,1,3,2,0,,,6,0,0,0,0,0,0,0,,0,,2,3,,1
"0368af34cb614bae9ef98c927741984d",23,1,42,1,2,1,2,2,0,,,21,30,0,0,0,5,0,0,,2,10000,2,1,4,1
"03d9ca9332d545378b468a1883127d8b",26,1,9,,,,,2,0,,,12,5,0,0,0,1,0,6,13000,0,,1,1,4,1
"03d9ca9332d545378b468a1883127d8b",23,1,12,,,,,2,0,,,10,7,0,0,0,0,0,0,,3,15000,2,1,5,1
"040b3ad7eb264e30acc111646f03422a",23,1,22,5,,1,,2,0,,,3,24,0,0,0,5,0,0,,0,,0,1,3,2
