"hhid","AGroup_ID","s8aq01","s8aq02","s8aq03","s8aq04","s8aq05","s8aq06a","s8aq06b"
"0007d1f1449242feb5a25429644fb991",106,0,,,,,,
"0007d1f1449242feb5a25429644fb991",107,0,,,,,,
"0007d1f1449242feb5a25429644fb991",108,0,,,,,,
"0007d1f1449242feb5a25429644fb991",105,0,,,,,,
"0010cbae3cea4ec9831f6cd92b02dc16",107,2,1,0,,,,
"0010cbae3cea4ec9831f6cd92b02dc16",108,0,,,,,,
"0010cbae3cea4ec9831f6cd92b02dc16",105,0,,,,,,
"0010cbae3cea4ec9831f6cd92b02dc16",106,0,,,,,,
"00246782f8654441a9df0f6ec0b6fc9f",106,0,,,,,,
"00246782f8654441a9df0f6ec0b6fc9f",107,0,,,,,,
"00246782f8654441a9df0f6ec0b6fc9f",105,0,,,,,,
"003ed8d32f794609919d60d2ed8813e8",107,0,,,,,,
"008c674975f24ea79f50e30cbd4ee635",105,0,,,,,,
"008c674975f24ea79f50e30cbd4ee635",106,0,,,,,,
"009c1baa0edb44f8af47773ce0b7caaa",106,0,,,,,,
"009c1baa0edb44f8af47773ce0b7caaa",108,0,,,,,,
"00cb487f12014891b3efa5c8679d18ab",105,0,,,,,,
"00cb487f12014891b3efa5c8679d18ab",106,0,,,,,,
"00cb487f12014891b3efa5c8679d18ab",107,0,,,,,,
"00dc3a212a1f40698656b2dc7cc97a85",107,0,,,,,,
"0142f6f0c8f9435c97ac2563a6f390ec",106,0,,,,,,
"014cbd0c0b844976888438f7ea74aa69",105,0,,,,,,
"0182fc7b5eb44c44aef16c3a178fb762",106,0,,,,,,
"018d29620fa44db282c80b6627413e5c",107,0,,,,,,
"018d29620fa44db282c80b6627413e5c",106,0,,,,,,
"018d29620fa44db282c80b6627413e5c",105,0,,,,,,
"0192cb54d502450ca603738439bf616f",107,0,,,,,,
"0192cb54d502450ca603738439bf616f",108,0,,,,,,
"0192cb54d502450ca603738439bf616f",101,0,,,,,,
"019f06d347d04d5fa22f1846aba0c59b",105,0,,,,,,
"019f06d347d04d5fa22f1846aba0c59b",106,0,,,,,,
"01d0f651c2534a1f8355b9e10e0e9dcb",106,0,,,,,,
"01d0f651c2534a1f8355b9e10e0e9dcb",107,0,,,,,,
"01d54a65224747fba33cf7b310c7435e",107,0,,,,,,
"01d54a65224747fba33cf7b310c7435e",106,0,,,,,,
"01d54a65224747fba33cf7b310c7435e",101,1,100,0,,,,
"01e7608a258e42c7a2f5af8b551bc247",106,0,,,,,,
"0222b766ba3d494fbf6fe07cf260dac4",106,0,,,,,,
"0222b766ba3d494fbf6fe07cf260dac4",108,0,,,,,,
"0222b766ba3d494fbf6fe07cf260dac4",107,5,1,0,,,,
"02449af9963842c8b8f615b2232735b1",105,0,,,,,,
"02449af9963842c8b8f615b2232735b1",108,0,,,,,,
"02449af9963842c8b8f615b2232735b1",106,0,,,,,,
"02449af9963842c8b8f615b2232735b1",107,0,,,,,,
"025b88ecba4a44279935bd4a0d19bccd",105,0,,,,,,
"025b88ecba4a44279935bd4a0d19bccd",107,0,,,,,,
"02868c7da57e46529281d2dae35ee7fd",108,0,,,,,,
"02efd503602d4d10a508075b811e5913",105,0,,,,,,
