"hhid","source_ID","h9q04a","h9q04b","h9q05ag__1","h9q05ag__2","h9q05ag__3","h9q05ag__4","h9q05ag__5","h9q05ag__6","h9q05ag__7","h9q05ag__8","h9q05ag__9","h9q06a","h9q06b","h9q07a","h9q08a","h9q09","h9q10a"
"00246782f8654441a9df0f6ec0b6fc9f",1,2,,1,1,1,1,1,2,2,2,1,1,0,0,2,,2
"03b2600846004af6ba212269261907a2",6,1,,1,1,,2,2,2,2,2,2,1,1,3,2,,1
"0464b7af72994dea923644331716d84e",1,1,,1,2,2,2,1,2,2,2,2,3,0,0,2,,1
"0540d10333124c9ab290bb9daaf998cc",1,1,,1,1,2,2,2,2,2,2,1,0,0,0,,,
"05863e44874d4d0bbe8abdc95d9249b2",5,1,5,1,2,2,2,2,2,2,2,2,0,0,2,2,,1
"06122c47fee6432f8b973b9ea525fe57",3,5,,2,2,2,2,1,2,1,2,1,2,0,0,2,,1
"068c76ff148d44fcbb4ab89429adcb6c",7,3,,1,1,2,1,2,2,2,2,2,0,0,2,2,,1
"0b5d1c5449044517bcce04bac511725e",3,1,,1,2,2,2,2,2,2,2,2,1,0,0,2,,1
"0b95a1e8ac1f432da2425f0e135e45c0",7,1,2,1,1,2,2,2,2,1,1,1,0,0,0,,,
"0c0509871b5f4941aac4d7f09d0451bf",1,1,,1,1,2,2,2,2,2,2,2,0,0,1,2,,1
"0c4001e96413427da9ec508f97d215bc",1,4,,1,2,2,2,2,2,2,2,2,1,0,1,2,,1
"0c4001e96413427da9ec508f97d215bc",4,4,,1,1,2,1,2,2,2,2,2,2,0,2,2,,1
"0c4001e96413427da9ec508f97d215bc",2,4,,1,1,2,1,1,2,1,1,1,2,0,0,2,,1
"0c4a4cf0e7ea4067b33aaa955c36715f",3,1,,1,2,1,1,2,2,2,2,2,0,0,0,,,
"0cd035c06c3647fab7f198d760f73e98",1,1,,1,2,2,2,2,2,2,2,1,0,0,0,,,
"0dac56419262429c8f0ca39b7a7c55fc",1,1,,1,2,2,2,2,2,2,1,1,2,0,1,2,,1
"10bc6b069d1043d7842d42e00e77e3b3",3,2,,2,1,2,1,1,2,2,1,1,0,3,0,2,,1
"10bc6b069d1043d7842d42e00e77e3b3",2,2,,1,1,1,1,2,2,2,2,2,0,2,0,2,,1
"1158beb5ce1a4af79f14684f8a1d1118",1,2,,1,2,2,2,2,2,2,2,2,0,0,1,2,,2
"1220b33997d548b8b3cecbd4ca1e3e2a",3,6,,2,2,2,2,1,2,1,1,1,3,0,0,2,,1
"12bc37b16e004845a7e6b13b4d5f6dce",6,1,,1,1,2,2,2,2,2,2,2,0,0,0,,,
"139242bfd93d4d5481216a222524d04b",2,1,,1,1,2,2,2,2,2,2,2,1,0,0,2,,1
"13bbb610652645e3bde6239310be0af2",7,1,,1,2,2,2,2,2,2,1,2,0,0,2,2,,1
"1410e723b01e4bf69e78d9ab6721cff6",3,1,2,1,1,1,1,2,2,2,,2,2,0,0,2,,1
"14e10f677117459db2b9b2895e7c722e",2,1,,2,2,2,2,2,2,2,2,1,1,0,1,2,,1
"1536a495d0ee472595d692c6865f5203",1,1,,1,2,2,1,2,2,2,2,2,0,0,1,2,,2
"157a396573164b868b4082633fcfe851",7,1,2,1,2,2,2,2,2,2,2,2,1,1,1,2,,1
"15fe3b6164aa476cb57d96fb94be4353",4,1,,1,2,2,2,2,2,2,2,2,0,0,0,,,
"191d75d796be49808dd3a85c7ebe8b7c",1,1,,1,1,2,2,2,2,1,1,2,0,0,2,2,,1
"1bdbf2c002c341fdb27ba09e8608f4e7",6,1,,1,1,2,2,2,2,2,2,2,0,0,0,,,
"1c9e0c6842514df987190903df844a48",2,7,,1,1,2,1,2,2,2,2,2,0,0,1,2,,1
"1d672eb8ea6c4e6799a9a0c2233645d7",1,2,,2,2,2,2,1,2,2,2,1,4,0,0,2,,1
"1de214e5f7b0487caf7a7911f07b78d7",4,1,,1,2,2,1,2,2,2,2,2,0,1,0,2,,1
"1e951f7b564247088afe5da99452ba04",1,1,,1,2,2,2,2,2,2,2,2,0,0,0,,,
"1ea8b99986f34675838282efe80f50f5",3,2,,1,2,1,2,2,2,2,2,2,0,0,12,2,,1
"1ef1bb52e6184972a679f8183203a57e",1,1,,1,2,2,2,2,2,2,2,2,0,1,0,2,,2
"20f5ad6fc2a7428086f48a00eef0980b",1,1,,2,2,2,2,2,2,2,1,1,4,0,0,2,,1
"21a9703d5a584c8a9db2416f2de76485",7,1,2,1,2,2,2,2,2,2,2,2,0,0,2,2,,1
"23209e24c96541a1af7969ab4c73d35c",7,2,,1,1,2,2,2,2,2,2,2,1,0,1,2,,1
