"hhid","h9q03a__1","h9q03a__2","h9q03a__3","h9q03a__4","h9q03a__5","h9q03a__7","h9q03a__6","h9q11a","h9q12a","h9q13a","h9q14a","h9q15a","h9q16a"
"0007d1f1449242feb5a25429644fb991",2,2,2,2,2,2,2,2,2,2,,2,2
"0010cbae3cea4ec9831f6cd92b02dc16",2,2,2,2,2,2,2,2,2,2,,2,2
"00246782f8654441a9df0f6ec0b6fc9f",1,2,2,2,2,2,2,1,2,2,,2,2
"003ed8d32f794609919d60d2ed8813e8",2,2,2,2,2,2,2,2,2,2,,2,2
"0060071f3f414406af7312d68eae8513",2,2,2,2,2,2,2,2,2,2,,2,2
"008c674975f24ea79f50e30cbd4ee635",2,2,2,2,2,2,2,2,2,2,,2,2
"009c1baa0edb44f8af47773ce0b7caaa",2,2,2,2,2,2,2,2,2,2,,2,2
"00b48fb6bcf84dd581bd7b2be5f908a0",2,2,2,2,2,2,2,2,2,2,,2,2
"00cb487f12014891b3efa5c8679d18ab",2,2,2,2,2,2,2,2,2,2,,2,2
"00d5da8bbd544c548a71f176496ee4b6",2,2,2,2,2,2,2,1,2,2,,2,2
"00dc3a212a1f40698656b2dc7cc97a85",2,2,2,2,2,,2,1,2,1,2,2,2
"0142f6f0c8f9435c97ac2563a6f390ec",2,2,2,2,2,2,2,1,2,1,1,2,2
"014cbd0c0b844976888438f7ea74aa69",2,2,2,2,2,2,2,1,2,1,2,2,2
"0182fc7b5eb44c44aef16c3a178fb762",2,2,2,2,2,2,2,1,2,2,,2,2
"018d29620fa44db282c80b6627413e5c",2,2,2,2,2,2,2,2,2,2,,2,2
"0192cb54d502450ca603738439bf616f",2,2,2,2,2,2,2,1,2,1,2,2,2
"0197cec68e9246a887cae30b13bc7488",2,2,2,2,2,2,2,1,2,1,2,2,2
"019f06d347d04d5fa22f1846aba0c59b",2,2,2,2,2,2,2,2,2,2,,2,2
"01d0f651c2534a1f8355b9e10e0e9dcb",2,2,2,2,2,2,2,2,2,2,,2,2
"01d54a65224747fba33cf7b310c7435e",2,2,2,2,2,2,2,1,2,1,2,1,2
"01e7608a258e42c7a2f5af8b551bc247",2,2,2,2,2,2,2,2,2,2,,2,2
"02087846085249d1ae73a1070233c8bb",2,2,2,2,2,2,2,2,2,2,,2,2
"0222b766ba3d494fbf6fe07cf260dac4",2,2,2,2,2,2,2,2,2,2,,2,2
"024172552bc54600b13887149d11e82c",2,2,2,2,2,2,2,2,1,2,,2,2
"02449af9963842c8b8f615b2232735b1",2,2,2,2,2,2,2,1,2,1,2,1,2
"025b88ecba4a44279935bd4a0d19bccd",2,2,2,2,2,2,2,1,2,1,2,2,2
"02868c7da57e46529281d2dae35ee7fd",2,2,2,2,2,2,2,1,2,2,,2,2
"02b20908f47043f0b2389ba8246c5bdc",2,2,2,2,2,2,2,1,2,1,2,2,2
"02efd503602d4d10a508075b811e5913",2,2,2,2,2,2,2,2,2,2,,2,2
"02fbc725a3074d0fa9debb7a02ba23fb",2,2,2,2,2,2,2,2,2,2,,2,2
"03003a6f1ccd4b1290629662229b5d83",2,2,2,2,2,2,2,2,2,2,,2,2
"032de3aed1c34dd5840aba975a5a4468",2,2,2,2,2,2,2,1,2,1,2,2,2
"034a672611304ed3a91b8a062f4d4046",2,2,2,2,2,2,2,1,2,1,2,2,2
"0368af34cb614bae9ef98c927741984d",2,2,2,2,2,2,2,1,2,2,,2,2
"0397ef293012436a99a621fce6fc7471",2,2,2,2,2,2,2,2,1,2,,1,2
"03b2600846004af6ba212269261907a2",2,2,2,2,2,2,1,2,2,2,,2,2
"03d9ca9332d545378b468a1883127d8b",2,2,2,2,2,2,2,1,2,2,,2,2
"040b3ad7eb264e30acc111646f03422a",2,2,2,2,2,2,2,1,2,1,2,2,2
"044116a438c040a898ba43daf6bdc2ea",2,2,2,2,2,2,2,1,2,1,2,1,2
"0442775d8d424d59a433ab5940d510ca",2,2,2,2,2,2,2,2,2,2,,2,2
"046067ad635647c5a02c03f1790df520",2,2,2,2,2,2,2,2,2,2,,2,2
"0464b7af72994dea923644331716d84e",1,2,2,2,2,2,2,1,1,1,1,2,2
"0495834806fb40adb50e0fd619ef5094",2,2,2,2,2,2,2,1,1,1,2,1,2
"04b011de772e4ce08e33e461bb1741eb",2,2,2,2,2,2,2,2,2,2,,2,2
"04bfccbfe0c64dfebc28097777937f16",2,2,2,2,2,2,2,2,2,2,,2,2
"04c814d7b9cb4aa2b651aa2e31acf4e9",2,2,2,2,2,2,2,2,2,2,,2,2
"04d55903a5d448c3953d1d1ceda1084d",2,2,2,2,2,2,2,1,2,1,2,1,2
"04ee28189feb42c6a75acb852661aef1",2,2,2,2,2,2,2,2,2,2,,2,2
"0515ceaa3b6d4400bb337565e78db4e4",2,2,2,2,2,2,2,1,2,1,1,2,2
"051abf68db894b34a1ecfa22bd2a2509",2,2,2,2,2,2,2,2,2,2,,2,2
"052f8d3f81c3477aa9366a24c54ddf83",2,2,2,2,2,2,2,1,2,1,2,2,2
"0540d10333124c9ab290bb9daaf998cc",1,2,2,2,2,2,2,2,1,2,,2,1
"054124cd4eff40ec97bf51a44fe4a93c",2,2,2,2,2,2,2,1,2,1,2,1,2
"05743465c6254f7baedf141b6381f400",2,2,2,2,2,2,2,2,2,2,,2,2
"05863e44874d4d0bbe8abdc95d9249b2",2,2,2,2,1,2,2,2,2,2,,2,2
"0586e2b9bcd24aa3bf31580492500327",2,2,2,2,2,2,2,2,2,2,,2,2
"058977f6550c4624b8d171b5d1a58a6e",2,2,2,2,2,2,2,1,2,2,,2,2
"059ff457522a4a8fa64c8b2717080161",2,2,2,2,2,2,2,2,2,2,,2,2
"05b5aece409440ff8a1231a07558d979",2,2,2,2,2,2,2,1,2,1,2,2,2
"05bd23b2d9d84b128c7b45db8d2da17f",2,2,2,2,2,2,2,1,2,1,2,2,2
"05cef9765f92473eb465b6dc4fac72a4",2,2,2,2,2,2,2,2,2,2,,2,2
"05dafcf31b4d403aad84cdfff9d1fdfc",2,2,2,2,2,2,2,2,2,2,,2,2
"0602eb95ac184ad3aa8fdba309f3f946",2,2,2,2,2,2,2,1,2,2,,2,2
"06122c47fee6432f8b973b9ea525fe57",2,2,1,2,2,2,2,1,2,1,2,2,2
"061989138f624a46be5860a6f7e8934b",2,2,2,2,2,2,2,1,2,1,2,2,2
"061d004e00b841cea0fa55802483b1b4",2,2,2,2,2,2,2,2,2,2,,2,2
"06403dbe6bbd4f1e82d16fa705c51b73",2,2,2,2,2,2,2,1,2,2,,2,2
"066a75cbe6cb4de4a2ba444ec6c9a5b4",2,2,2,2,2,2,2,2,2,2,,2,2
"067e98465031426791a3853b69a9a70a",2,2,2,2,2,2,2,1,2,1,2,1,2
"067f809da4ef44c8ab7ff3a16ee31672",2,2,2,2,2,2,2,1,2,2,,2,2
"06816d8d60b141418b768b356970d613",2,2,2,2,2,2,2,2,2,2,,2,2
"068c76ff148d44fcbb4ab89429adcb6c",2,2,2,2,2,1,2,1,2,1,2,2,2
"06a5f788e6b248dfa229a7cd68fcf706",2,2,2,2,2,2,2,2,2,2,,2,2
