"Final_EA_code","interview__id","s1aq01b","s1aq02b","s1aq03b","s1aq04b","Batch"
"410201010733","05a0fe0e9f714c0b84f108d501df571a","410","2","1","1",920
"223121030202","05f078de3c20400bb66156c3a52d43ec","223","1","21","3",468
"415114070301","07ae8f7297234aee97940f7561f48346","415","1","14","7",980
"204102040514","0878b9ca320646cbb31fafb49df1a623","204","1","2","4",345
"205101030109","098b64d5f62d4447a876789fb7762cb4","205","1","1","3",364
"307202030201","09bfa283100c462d998e21c567116948","307","2","2","3",640
"107302030503","0aee3535b7234e049787609e8776fee8","107","3","2","3",312
"117202080201","0b08b47250b441e9a1cef5e119453e39","117","2","2","8",257
"204203010514","0c7be6801de643efa91970a69114cead","204","2","3","1",347
"313104010108","0d07cf9a197b4eaa9ba64ed29c9134ad","313","1","4","1",677
"118101041020","0d35d167e05a48cabed55225424424cf","118","1","1","4",268
"102104081332","0e0a6e4e61be4e86827a616c7e49c88b","102","1","4","8",42
"117301041130","0f26d7f7b06f4b93855c5a0a44a4a6d0","117","3","1","4",259
"113105050532","103ae2d40d654ba6ae6314c148087521","113","1","5","5",172
"317101010205","104d7f9eb5cc42939d5b89074e036cb9","317","1","1","1",695
"232101040606","1058921f8e3e4719beb3f8c64572daf1","232","1","1","4",511
"311105051111","10e47f214cb7482aa3d9da38fbb07f61","311","1","5","5",669
"308102060619","1124288a21f7429c8e9307a11291b298","308","1","2","6",646
"327106020513","11324295e37b4bd8b91976e0d5e61df7","327","1","6","2",793
"102104020103","120745e30ae2426f86bb7f0dc22bbf48","102","1","4","2",39
"219103170202","14b0a6db23fb42a683d40499e0651e1a","219","1","3","17",449
"115202070303","14c013df40e448d49e47f95ceab9d37e","115","2","2","7",231
"303404030404","1559b44962074f1fa1de10a1c4794e7f","303","4","4","3",567
"113105040201","15d825f70832453c8d77d9b0db1b716f","113","1","5","4",171
"223128010204","15daaf897d21429892bdbf6e9764ae66","223","1","28","1",474
"322108020610","165176d72b6e412cad2ebc29b0a29ee2","322","1","8","2",753
"102104020313","179be7cbf9884e01833685dd902c2f22","102","1","4","2",40
"113604010110","17ad285d62d7499fa34b4a79740f73fd","113","6","4","1",222
"221109050505","18cad48cbad4438ab7b9524abfdc566e","221","1","9","5",457
"123110030105","19e17412e1bb4367904771f4b7d723b1","123","1","10","3",286
"307108020605","1a7113db20214db7abccd7c463c86c4c","307","1","8","2",633
"226105051005","1abf78b9247749bf82b6875f5fa2caac","226","1","5","5",496
"415115040706","1b8cc2c217144817bece19f488026244","415","1","15","4",982
"310102021618","1d1c39bd455d40e7adb33093f06cefb2","310","1","2","2",820
"208202080102","1eb5ffb1eeb14468bc6eb36b5bb54ef5","208","2","2","8",384
"323104030201","1f82d12a97c547288165584527f40a15","323","1","4","3",758
"303201020510","1f9751e8115d473c98fdd74d60bf3cfe","303","2","1","2",542
"411403030809","20b3dc70a2ef47ffab2bc7cf0cfde6b0","411","4","3","3",956
