"Final_EA_code","interview__id","Water_facilities_id","s3q22","s3q23","s3q24"
"410201010733","05a0fe0e9f714c0b84f108d501df571a",5,2,0,2
"410201010733","05a0fe0e9f714c0b84f108d501df571a",1,1,0,1
"223121030202","05f078de3c20400bb66156c3a52d43ec",2,3,0.1,1
"223121030202","05f078de3c20400bb66156c3a52d43ec",6,2,1,1
"223121030202","05f078de3c20400bb66156c3a52d43ec",5,1,0,2
"415114070301","07ae8f7297234aee97940f7561f48346",5,1,0,2
"415114070301","07ae8f7297234aee97940f7561f48346",9,2,0.5,1
"204102040514","0878b9ca320646cbb31fafb49df1a623",3,1,0,1
"205101030109","098b64d5f62d4447a876789fb7762cb4",1,,,
"205101030109","098b64d5f62d4447a876789fb7762cb4",2,,,
"205101030109","098b64d5f62d4447a876789fb7762cb4",7,,,
"205101030109","098b64d5f62d4447a876789fb7762cb4",5,,,
"205101030109","098b64d5f62d4447a876789fb7762cb4",8,,,
"205101030109","098b64d5f62d4447a876789fb7762cb4",4,,,
"205101030109","098b64d5f62d4447a876789fb7762cb4",9,,,
"205101030109","098b64d5f62d4447a876789fb7762cb4",6,,,
"205101030109","098b64d5f62d4447a876789fb7762cb4",3,,,
"307202030201","09bfa283100c462d998e21c567116948",1,1,0,1
"307202030201","09bfa283100c462d998e21c567116948",4,2,1,1
"107302030503","0aee3535b7234e049787609e8776fee8",4,1,0.2,1
"107302030503","0aee3535b7234e049787609e8776fee8",7,2,0.5,2
"117202080201","0b08b47250b441e9a1cef5e119453e39",5,1,0,2
"117202080201","0b08b47250b441e9a1cef5e119453e39",6,2,1.5,1
"204203010514","0c7be6801de643efa91970a69114cead",7,,,
"204203010514","0c7be6801de643efa91970a69114cead",8,,,
"204203010514","0c7be6801de643efa91970a69114cead",3,,,
"204203010514","0c7be6801de643efa91970a69114cead",5,,,
"204203010514","0c7be6801de643efa91970a69114cead",9,,,
"204203010514","0c7be6801de643efa91970a69114cead",6,,,
"204203010514","0c7be6801de643efa91970a69114cead",2,,,
"204203010514","0c7be6801de643efa91970a69114cead",1,,,
"204203010514","0c7be6801de643efa91970a69114cead",4,,,
"313104010108","0d07cf9a197b4eaa9ba64ed29c9134ad",4,3,0.4,1
"313104010108","0d07cf9a197b4eaa9ba64ed29c9134ad",3,1,0,1
"313104010108","0d07cf9a197b4eaa9ba64ed29c9134ad",5,2,0,2
"118101041020","0d35d167e05a48cabed55225424424cf",5,1,0,2
"118101041020","0d35d167e05a48cabed55225424424cf",6,2,5,1
"102104081332","0e0a6e4e61be4e86827a616c7e49c88b",1,1,0,1
"117301041130","0f26d7f7b06f4b93855c5a0a44a4a6d0",4,,,
"117301041130","0f26d7f7b06f4b93855c5a0a44a4a6d0",6,,,
"117301041130","0f26d7f7b06f4b93855c5a0a44a4a6d0",5,,,
"117301041130","0f26d7f7b06f4b93855c5a0a44a4a6d0",8,,,
"117301041130","0f26d7f7b06f4b93855c5a0a44a4a6d0",7,,,
"117301041130","0f26d7f7b06f4b93855c5a0a44a4a6d0",2,,,
"117301041130","0f26d7f7b06f4b93855c5a0a44a4a6d0",3,,,
"117301041130","0f26d7f7b06f4b93855c5a0a44a4a6d0",1,,,
"117301041130","0f26d7f7b06f4b93855c5a0a44a4a6d0",9,,,
"113105050532","103ae2d40d654ba6ae6314c148087521",5,2,0,2
"113105050532","103ae2d40d654ba6ae6314c148087521",1,1,0,1
"317101010205","104d7f9eb5cc42939d5b89074e036cb9",5,2,0,2
"317101010205","104d7f9eb5cc42939d5b89074e036cb9",4,1,0.1,1
"232101040606","1058921f8e3e4719beb3f8c64572daf1",4,1,0.5,1
"232101040606","1058921f8e3e4719beb3f8c64572daf1",5,2,0,2
"311105051111","10e47f214cb7482aa3d9da38fbb07f61",4,,,
"311105051111","10e47f214cb7482aa3d9da38fbb07f61",9,,,
"311105051111","10e47f214cb7482aa3d9da38fbb07f61",6,,,
"311105051111","10e47f214cb7482aa3d9da38fbb07f61",2,,,
"311105051111","10e47f214cb7482aa3d9da38fbb07f61",8,,,
"311105051111","10e47f214cb7482aa3d9da38fbb07f61",3,,,
"311105051111","10e47f214cb7482aa3d9da38fbb07f61",7,,,
"311105051111","10e47f214cb7482aa3d9da38fbb07f61",1,,,
"311105051111","10e47f214cb7482aa3d9da38fbb07f61",5,,,
"308102060619","1124288a21f7429c8e9307a11291b298",3,1,0,1
"327106020513","11324295e37b4bd8b91976e0d5e61df7",1,3,0,2
"327106020513","11324295e37b4bd8b91976e0d5e61df7",3,1,0.3,1
"327106020513","11324295e37b4bd8b91976e0d5e61df7",5,2,0,2
"102104020103","120745e30ae2426f86bb7f0dc22bbf48",1,,,
"102104020103","120745e30ae2426f86bb7f0dc22bbf48",7,,,
"102104020103","120745e30ae2426f86bb7f0dc22bbf48",3,,,
"102104020103","120745e30ae2426f86bb7f0dc22bbf48",6,,,
"102104020103","120745e30ae2426f86bb7f0dc22bbf48",8,,,
"102104020103","120745e30ae2426f86bb7f0dc22bbf48",5,,,
"102104020103","120745e30ae2426f86bb7f0dc22bbf48",2,,,
"102104020103","120745e30ae2426f86bb7f0dc22bbf48",9,,,
"102104020103","120745e30ae2426f86bb7f0dc22bbf48",4,,,
"219103170202","14b0a6db23fb42a683d40499e0651e1a",6,2,0.4,1
"219103170202","14b0a6db23fb42a683d40499e0651e1a",3,1,0,1
"115202070303","14c013df40e448d49e47f95ceab9d37e",6,2,3.5,1
"115202070303","14c013df40e448d49e47f95ceab9d37e",5,1,0,2
"303404030404","1559b44962074f1fa1de10a1c4794e7f",5,3,0,2
"303404030404","1559b44962074f1fa1de10a1c4794e7f",1,2,0,1
"303404030404","1559b44962074f1fa1de10a1c4794e7f",4,1,0.2,1
"113105040201","15d825f70832453c8d77d9b0db1b716f",3,1,0,1
"113105040201","15d825f70832453c8d77d9b0db1b716f",5,2,0,2
"223128010204","15daaf897d21429892bdbf6e9764ae66",3,1,0.4,1
"223128010204","15daaf897d21429892bdbf6e9764ae66",6,2,1,1
"322108020610","165176d72b6e412cad2ebc29b0a29ee2",4,1,0.5,1
"102104020313","179be7cbf9884e01833685dd902c2f22",4,,,
"102104020313","179be7cbf9884e01833685dd902c2f22",2,,,
"102104020313","179be7cbf9884e01833685dd902c2f22",6,,,
"102104020313","179be7cbf9884e01833685dd902c2f22",5,,,
"102104020313","179be7cbf9884e01833685dd902c2f22",1,,,
"102104020313","179be7cbf9884e01833685dd902c2f22",9,,,
"102104020313","179be7cbf9884e01833685dd902c2f22",7,,,
"102104020313","179be7cbf9884e01833685dd902c2f22",3,,,
"102104020313","179be7cbf9884e01833685dd902c2f22",8,,,
"113604010110","17ad285d62d7499fa34b4a79740f73fd",5,2,0,2
"113604010110","17ad285d62d7499fa34b4a79740f73fd",1,1,0,1
"113604010110","17ad285d62d7499fa34b4a79740f73fd",9,3,0,1
"221109050505","18cad48cbad4438ab7b9524abfdc566e",3,1,0,1
"123110030105","19e17412e1bb4367904771f4b7d723b1",5,1,0,2
"123110030105","19e17412e1bb4367904771f4b7d723b1",3,3,0,1
"123110030105","19e17412e1bb4367904771f4b7d723b1",1,2,0,1
"307108020605","1a7113db20214db7abccd7c463c86c4c",3,1,0,1
"226105051005","1abf78b9247749bf82b6875f5fa2caac",4,1,2,1
"415115040706","1b8cc2c217144817bece19f488026244",4,1,2,1
"415115040706","1b8cc2c217144817bece19f488026244",5,2,0,2
"310102021618","1d1c39bd455d40e7adb33093f06cefb2",4,1,0,1
"208202080102","1eb5ffb1eeb14468bc6eb36b5bb54ef5",3,2,0,1
"208202080102","1eb5ffb1eeb14468bc6eb36b5bb54ef5",5,3,0,2
"208202080102","1eb5ffb1eeb14468bc6eb36b5bb54ef5",1,1,0,1
"323104030201","1f82d12a97c547288165584527f40a15",6,2,0.5,1
"323104030201","1f82d12a97c547288165584527f40a15",1,1,0,1
"303201020510","1f9751e8115d473c98fdd74d60bf3cfe",4,,,
"303201020510","1f9751e8115d473c98fdd74d60bf3cfe",9,,,
"303201020510","1f9751e8115d473c98fdd74d60bf3cfe",8,,,
"303201020510","1f9751e8115d473c98fdd74d60bf3cfe",2,,,
"303201020510","1f9751e8115d473c98fdd74d60bf3cfe",1,,,
"303201020510","1f9751e8115d473c98fdd74d60bf3cfe",3,,,
"303201020510","1f9751e8115d473c98fdd74d60bf3cfe",6,,,
"303201020510","1f9751e8115d473c98fdd74d60bf3cfe",5,,,
"303201020510","1f9751e8115d473c98fdd74d60bf3cfe",7,,,
"411403030809","20b3dc70a2ef47ffab2bc7cf0cfde6b0",9,,,
"411403030809","20b3dc70a2ef47ffab2bc7cf0cfde6b0",8,,,
"411403030809","20b3dc70a2ef47ffab2bc7cf0cfde6b0",2,,,
"411403030809","20b3dc70a2ef47ffab2bc7cf0cfde6b0",6,,,
"411403030809","20b3dc70a2ef47ffab2bc7cf0cfde6b0",4,,,
"411403030809","20b3dc70a2ef47ffab2bc7cf0cfde6b0",5,,,
"411403030809","20b3dc70a2ef47ffab2bc7cf0cfde6b0",1,,,
"411403030809","20b3dc70a2ef47ffab2bc7cf0cfde6b0",3,,,
"411403030809","20b3dc70a2ef47ffab2bc7cf0cfde6b0",7,,,
"107305070203","22079ff2853f489cae51dabb6c99470d",4,1,0.5,1
"403201020515","22305ac5a3e1460c98eca90206d5b6bc",6,,,
"403201020515","22305ac5a3e1460c98eca90206d5b6bc",5,,,
"403201020515","22305ac5a3e1460c98eca90206d5b6bc",4,,,
"403201020515","22305ac5a3e1460c98eca90206d5b6bc",9,,,
"403201020515","22305ac5a3e1460c98eca90206d5b6bc",3,,,
"403201020515","22305ac5a3e1460c98eca90206d5b6bc",1,,,
"403201020515","22305ac5a3e1460c98eca90206d5b6bc",8,,,
"403201020515","22305ac5a3e1460c98eca90206d5b6bc",7,,,
"403201020515","22305ac5a3e1460c98eca90206d5b6bc",2,,,
"102105010613","2298e1b9396042d282a34faa2bbeac2d",1,1,0,1
"102105010613","2298e1b9396042d282a34faa2bbeac2d",5,2,0,2
"215115020203","23f6bb268b504e58856725154c372561",5,1,0,2
"215115020203","23f6bb268b504e58856725154c372561",6,2,0.5,1
"230105040506","24dff56428de471c8f2d55dc2ad1600a",2,,,
"230105040506","24dff56428de471c8f2d55dc2ad1600a",4,,,
"230105040506","24dff56428de471c8f2d55dc2ad1600a",5,,,
"230105040506","24dff56428de471c8f2d55dc2ad1600a",3,,,
"230105040506","24dff56428de471c8f2d55dc2ad1600a",1,,,
"230105040506","24dff56428de471c8f2d55dc2ad1600a",6,,,
"230105040506","24dff56428de471c8f2d55dc2ad1600a",9,,,
"230105040506","24dff56428de471c8f2d55dc2ad1600a",8,,,
"230105040506","24dff56428de471c8f2d55dc2ad1600a",7,,,
"102101080210","2687e3cb2fe0474abeda57d9a8c8ad32",9,,,
"102101080210","2687e3cb2fe0474abeda57d9a8c8ad32",3,,,
"102101080210","2687e3cb2fe0474abeda57d9a8c8ad32",8,,,
"102101080210","2687e3cb2fe0474abeda57d9a8c8ad32",1,,,
"102101080210","2687e3cb2fe0474abeda57d9a8c8ad32",4,,,
"102101080210","2687e3cb2fe0474abeda57d9a8c8ad32",7,,,
"102101080210","2687e3cb2fe0474abeda57d9a8c8ad32",6,,,
"102101080210","2687e3cb2fe0474abeda57d9a8c8ad32",5,,,
"102101080210","2687e3cb2fe0474abeda57d9a8c8ad32",2,,,
"216202030604","26be7462ce5e43d3b0b9cfdda3680cda",4,1,0.4,1
"404102030405","26eef9075b7349a0b4525e9ba09468a2",1,1,0,2
"404102030405","26eef9075b7349a0b4525e9ba09468a2",7,2,0.8,1
"409101040104","26f0c6653b8b4c1bad87410d14d90552",8,,,
"409101040104","26f0c6653b8b4c1bad87410d14d90552",2,,,
"409101040104","26f0c6653b8b4c1bad87410d14d90552",1,,,
"409101040104","26f0c6653b8b4c1bad87410d14d90552",4,,,
"409101040104","26f0c6653b8b4c1bad87410d14d90552",5,,,
"409101040104","26f0c6653b8b4c1bad87410d14d90552",6,,,
