"Final_EA_code","interview__id","School_leave_id","s3q34","s3q35a","s3q35b","s3q36a","s3q36b"
"410201010733","05a0fe0e9f714c0b84f108d501df571a",3,1,27,23,8,8
"410201010733","05a0fe0e9f714c0b84f108d501df571a",2,1,17,23,8,8
"410201010733","05a0fe0e9f714c0b84f108d501df571a",1,1,23,14,8,8
"223121030202","05f078de3c20400bb66156c3a52d43ec",2,1,1,0,9,
"223121030202","05f078de3c20400bb66156c3a52d43ec",3,2,,,,
"223121030202","05f078de3c20400bb66156c3a52d43ec",1,1,1,0,8,
"415114070301","07ae8f7297234aee97940f7561f48346",2,2,,,,
"415114070301","07ae8f7297234aee97940f7561f48346",1,1,23,25,96,11
"415114070301","07ae8f7297234aee97940f7561f48346",3,2,,,,
"204102040514","0878b9ca320646cbb31fafb49df1a623",2,1,8,7,6,4
"204102040514","0878b9ca320646cbb31fafb49df1a623",3,1,11,16,6,5
"204102040514","0878b9ca320646cbb31fafb49df1a623",1,1,12,7,6,5
"205101030109","098b64d5f62d4447a876789fb7762cb4",3,,,,,
"205101030109","098b64d5f62d4447a876789fb7762cb4",1,,,,,
"205101030109","098b64d5f62d4447a876789fb7762cb4",2,,,,,
"307202030201","09bfa283100c462d998e21c567116948",2,1,28,38,8,8
"307202030201","09bfa283100c462d998e21c567116948",3,1,40,45,8,8
"307202030201","09bfa283100c462d998e21c567116948",1,1,23,36,8,8
"107302030503","0aee3535b7234e049787609e8776fee8",2,1,9,24,8,8
"107302030503","0aee3535b7234e049787609e8776fee8",3,1,12,22,8,6
"107302030503","0aee3535b7234e049787609e8776fee8",1,1,14,20,8,6
"117202080201","0b08b47250b441e9a1cef5e119453e39",1,1,10,10,6,8
"117202080201","0b08b47250b441e9a1cef5e119453e39",2,1,98,98,96,96
"117202080201","0b08b47250b441e9a1cef5e119453e39",3,2,,,,
"204203010514","0c7be6801de643efa91970a69114cead",1,,,,,
"204203010514","0c7be6801de643efa91970a69114cead",3,,,,,
"204203010514","0c7be6801de643efa91970a69114cead",2,,,,,
"313104010108","0d07cf9a197b4eaa9ba64ed29c9134ad",3,2,,,,
"313104010108","0d07cf9a197b4eaa9ba64ed29c9134ad",2,2,,,,
"313104010108","0d07cf9a197b4eaa9ba64ed29c9134ad",1,2,,,,
"118101041020","0d35d167e05a48cabed55225424424cf",1,1,5,5,8,8
"118101041020","0d35d167e05a48cabed55225424424cf",2,1,3,3,11,11
"118101041020","0d35d167e05a48cabed55225424424cf",3,1,2,2,6,6
"102104081332","0e0a6e4e61be4e86827a616c7e49c88b",2,1,15,15,8,9
"102104081332","0e0a6e4e61be4e86827a616c7e49c88b",3,1,10,10,8,8
"102104081332","0e0a6e4e61be4e86827a616c7e49c88b",1,1,20,10,8,8
"117301041130","0f26d7f7b06f4b93855c5a0a44a4a6d0",2,,,,,
"117301041130","0f26d7f7b06f4b93855c5a0a44a4a6d0",1,,,,,
"117301041130","0f26d7f7b06f4b93855c5a0a44a4a6d0",3,,,,,
"113105050532","103ae2d40d654ba6ae6314c148087521",1,1,0,1,,8
"113105050532","103ae2d40d654ba6ae6314c148087521",3,2,,,,
"113105050532","103ae2d40d654ba6ae6314c148087521",2,2,,,,
"317101010205","104d7f9eb5cc42939d5b89074e036cb9",3,1,31,36,9,9
"317101010205","104d7f9eb5cc42939d5b89074e036cb9",2,1,29,33,11,11
"317101010205","104d7f9eb5cc42939d5b89074e036cb9",1,1,21,25,11,11
"232101040606","1058921f8e3e4719beb3f8c64572daf1",1,2,,,,
"232101040606","1058921f8e3e4719beb3f8c64572daf1",2,2,,,,
"232101040606","1058921f8e3e4719beb3f8c64572daf1",3,2,,,,
"311105051111","10e47f214cb7482aa3d9da38fbb07f61",1,,,,,
"311105051111","10e47f214cb7482aa3d9da38fbb07f61",3,,,,,
"311105051111","10e47f214cb7482aa3d9da38fbb07f61",2,,,,,
"308102060619","1124288a21f7429c8e9307a11291b298",3,2,,,,
