"Final_EA_code","interview__id","Class_id","s3q53","s3q54","s3q55a","s3q55b","s3q56","s3q57","s3q58","s3q59","s3q60","s3q61","s3q62","s3q63","s3q64","s3q65","s3q66"
"410201010733","05a0fe0e9f714c0b84f108d501df571a",0,2,2,28,22,1,4,1,,,,2,50,1,1,1
"410201010733","05a0fe0e9f714c0b84f108d501df571a",2,1,2,24,38,1,4,1,,,,2,62,1,1,1
"410201010733","05a0fe0e9f714c0b84f108d501df571a",6,2,2,26,30,1,1,1,,,,1,56,1,1,1
"410201010733","05a0fe0e9f714c0b84f108d501df571a",3,2,2,29,34,1,4,1,,,,1,63,1,1,1
"410201010733","05a0fe0e9f714c0b84f108d501df571a",5,1,2,20,24,1,3,1,,,,1,43,1,1,1
"410201010733","05a0fe0e9f714c0b84f108d501df571a",1,2,2,27,33,1,4,1,,,,1,59,1,1,1
"410201010733","05a0fe0e9f714c0b84f108d501df571a",4,1,2,27,34,1,4,1,,,,2,60,1,1,1
"223121030202","05f078de3c20400bb66156c3a52d43ec",6,1,1,37,39,1,3,1,,,,1,50,1,1,1
"223121030202","05f078de3c20400bb66156c3a52d43ec",2,2,2,71,68,2,2,2,2,,1,1,98,2,2,1
"223121030202","05f078de3c20400bb66156c3a52d43ec",3,2,1,72,69,1,2,1,,,,1,89,2,2,1
"223121030202","05f078de3c20400bb66156c3a52d43ec",5,2,1,41,53,1,3,1,,,,1,74,1,1,1
"223121030202","05f078de3c20400bb66156c3a52d43ec",0,2,2,64,67,2,2,1,,,,1,101,2,3,1
"223121030202","05f078de3c20400bb66156c3a52d43ec",4,2,2,73,65,1,2,1,,,,1,83,2,1,1
"223121030202","05f078de3c20400bb66156c3a52d43ec",1,2,2,73,75,2,2,1,,,,1,101,2,2,1
"415114070301","07ae8f7297234aee97940f7561f48346",1,2,1,40,49,1,1,1,,,,1,42,1,4,1
"415114070301","07ae8f7297234aee97940f7561f48346",2,2,2,48,39,1,4,1,,,,1,37,1,4,1
"415114070301","07ae8f7297234aee97940f7561f48346",6,1,2,12,8,1,2,1,,,,1,0,5,1,1
"415114070301","07ae8f7297234aee97940f7561f48346",5,1,2,20,28,1,2,1,,,,1,25,1,3,1
"415114070301","07ae8f7297234aee97940f7561f48346",4,1,1,23,29,1,2,1,,,,1,29,1,3,1
"415114070301","07ae8f7297234aee97940f7561f48346",3,2,2,38,29,1,4,1,,,,1,27,1,3,1
"415114070301","07ae8f7297234aee97940f7561f48346",0,2,2,51,45,1,1,1,,,,1,48,1,4,1
"204102040514","0878b9ca320646cbb31fafb49df1a623",4,1,1,70,162,1,2,1,,,,1,83,1,3,1
"204102040514","0878b9ca320646cbb31fafb49df1a623",3,1,2,135,104,2,3,1,,,,1,57,3,2,1
"204102040514","0878b9ca320646cbb31fafb49df1a623",2,2,1,95,105,2,3,1,,,,1,88,3,3,2
