"Final_EA_code","interview__id","C4H_ElementYear_id","s4hq83","s4hq84","s4hq85","s4hq86","s4hq83v2","s4hq84v2","s4hq85v2","s4hq86v2"
"410201010733","05a0fe0e9f714c0b84f108d501df571a",0,"822","822",2,"MATCHING","500","503",1,"POOR TALLYING"
"410201010733","05a0fe0e9f714c0b84f108d501df571a",1,"532","532",2,"MATCHING","734","734",2,"matching"
"410201010733","05a0fe0e9f714c0b84f108d501df571a",2,"21","21",2,"Matching","9","9",2,"matching"
"410201010733","05a0fe0e9f714c0b84f108d501df571a",3,"9","9",2,"MATCHING","11","11",2,"matching"
"410201010733","05a0fe0e9f714c0b84f108d501df571a",4,"97","97",2,"MATCHING","49","49",2,"matching"
"410201010733","05a0fe0e9f714c0b84f108d501df571a",5,"69","69",2,"MATCHING","87","87",2,"matching"
"223121030202","05f078de3c20400bb66156c3a52d43ec",0,"##N/A##","686",2,"##N/A##","##N/A##","3049",2,"##N/A##"
"223121030202","05f078de3c20400bb66156c3a52d43ec",1,"##N/A##","861",2,"##N/A##","##N/A##","505",2,"##N/A##"
"223121030202","05f078de3c20400bb66156c3a52d43ec",2,"##N/A##","120",2,"##N/A##","##N/A##","154",2,"##N/A##"
"223121030202","05f078de3c20400bb66156c3a52d43ec",3,"##N/A##","111",2,"##N/A##","##N/A##","148",2,"##N/A##"
"223121030202","05f078de3c20400bb66156c3a52d43ec",4,"##N/A##","179",2,"##N/A##","##N/A##","221",2,"##N/A##"
"223121030202","05f078de3c20400bb66156c3a52d43ec",5,"##N/A##","194",2,"##N/A##","##N/A##","166",2,"##N/A##"
"415114070301","07ae8f7297234aee97940f7561f48346",0,"462","462",2,"NONE","431","431",2,"NONE"
"415114070301","07ae8f7297234aee97940f7561f48346",1,"415","415",2,"NONE","563","563",2,"NONE"
"415114070301","07ae8f7297234aee97940f7561f48346",2,"11","11",2,"NONE","6","6",2,"NONE"
"415114070301","07ae8f7297234aee97940f7561f48346",3,"12","12",2,"NONE","8","8",2,"NONE"
"415114070301","07ae8f7297234aee97940f7561f48346",4,"49","49",2,"NONE","19","19",2,"NONE"
"415114070301","07ae8f7297234aee97940f7561f48346",5,"62","62",2,"NONE","54","54",2,"NONE"
"204102040514","0878b9ca320646cbb31fafb49df1a623",0,"383","383",2,"NONE","684","684",2,"NO MISMATCH"
"204102040514","0878b9ca320646cbb31fafb49df1a623",1,"796","796",2,"NO MISMATCH","284","284",2,"NO MISMATCH"
"204102040514","0878b9ca320646cbb31fafb49df1a623",2,"40","40",2,"NO MISMATCH","35","35",2,"NO MISMATCH"
"204102040514","0878b9ca320646cbb31fafb49df1a623",3,"25","25",2,"NO MISMATCH","30","30",2,"NO MISMATCH"
"204102040514","0878b9ca320646cbb31fafb49df1a623",4,"35","35",2,"NO MISMATCH","23","23",2,"NO MISMATCH"
"204102040514","0878b9ca320646cbb31fafb49df1a623",5,"38","38",2,"NO MISMATCH","14","14",2,"NO MISMATCH"
"307202030201","09bfa283100c462d998e21c567116948",0,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##",,"##N/A##"
"307202030201","09bfa283100c462d998e21c567116948",1,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##",,"##N/A##"
"307202030201","09bfa283100c462d998e21c567116948",2,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##",,"##N/A##"
"307202030201","09bfa283100c462d998e21c567116948",3,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##",,"##N/A##"
"307202030201","09bfa283100c462d998e21c567116948",4,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##",,"##N/A##"
"307202030201","09bfa283100c462d998e21c567116948",5,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##",,"##N/A##"
"107302030503","0aee3535b7234e049787609e8776fee8",0,"_","225",2,"No mismatch","_","287",2,"No mismatch"
"107302030503","0aee3535b7234e049787609e8776fee8",1,"_","228",2,"No mismatch","_","577",2,"No mismatch"
"107302030503","0aee3535b7234e049787609e8776fee8",2,"_","10",2,"No mismatch","_","0",2,"No mismatch"
"107302030503","0aee3535b7234e049787609e8776fee8",3,"_","0",2,"DURING THIS MONTH THE FACILITY HAD NO DELIVERIES","_","3",2,"No mismatch"
"107302030503","0aee3535b7234e049787609e8776fee8",4,"_","43",2,"No mismatch","_","32",2,"No mismatch"
"107302030503","0aee3535b7234e049787609e8776fee8",5,"_","92",2,"No mismatch","_","25",2,"No mismatch"
"117202080201","0b08b47250b441e9a1cef5e119453e39",0,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##",,"##N/A##"
"117202080201","0b08b47250b441e9a1cef5e119453e39",1,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##",,"##N/A##"
"117202080201","0b08b47250b441e9a1cef5e119453e39",2,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##",,"##N/A##"
"117202080201","0b08b47250b441e9a1cef5e119453e39",3,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##",,"##N/A##"
"117202080201","0b08b47250b441e9a1cef5e119453e39",4,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##",,"##N/A##"
"117202080201","0b08b47250b441e9a1cef5e119453e39",5,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##",,"##N/A##"
"204203010514","0c7be6801de643efa91970a69114cead",0,"1553","1553",2,"NO MISMATCH","1801","1801",2,"NO MISMATCH"
"204203010514","0c7be6801de643efa91970a69114cead",1,"2120","2120",2,"NO MISMATCH","1492","1492",2,"NO MISMATCH"
"204203010514","0c7be6801de643efa91970a69114cead",2,"67","67",2,"NO MISMATCH","52","52",2,"NO MISMATCH"
"204203010514","0c7be6801de643efa91970a69114cead",3,"61","61",2,"NO MISMATCH","61","61",2,"NO MISMATCH"
"204203010514","0c7be6801de643efa91970a69114cead",4,"67","67",2,"NO MISMATCH","71","71",2,"NO MISMATCH"
"204203010514","0c7be6801de643efa91970a69114cead",5,"58","58",2,"NO MISMATCH","59","59",2,"NO MISMATCH"
"313104010108","0d07cf9a197b4eaa9ba64ed29c9134ad",0,"730","732",1,"poor tallying","738","738",2,"none"
"313104010108","0d07cf9a197b4eaa9ba64ed29c9134ad",1,"654","659",1,"poor tallying","275","279",1,"poor tallying"
"313104010108","0d07cf9a197b4eaa9ba64ed29c9134ad",2,"22","22",2,"none","29","29",2,"none"
"313104010108","0d07cf9a197b4eaa9ba64ed29c9134ad",3,"16","16",2,"none","7","7",2,"none"
"313104010108","0d07cf9a197b4eaa9ba64ed29c9134ad",4,"37","17",1,"registers missing","23","23",2,"none"
"313104010108","0d07cf9a197b4eaa9ba64ed29c9134ad",5,"40","38",1,"poor tallying","26","26",2,"none"
"118101041020","0d35d167e05a48cabed55225424424cf",0,"545","545",2,"NO MISMATCH","350","350",2,"NO MISMATCH"
"118101041020","0d35d167e05a48cabed55225424424cf",1,"946","946",2,"NO MISMATCH","573","573",2,"NO MISMATCH"
"118101041020","0d35d167e05a48cabed55225424424cf",2,"15","15",2,"NO MISMATCH","11","11",2,"NO MISMATCH"
"118101041020","0d35d167e05a48cabed55225424424cf",3,"11","11",2,"NO MISMATCH","7","7",2,"NO MISMATCH"
"118101041020","0d35d167e05a48cabed55225424424cf",4,"32","32",2,"NO MISMATCH","59","59",2,"NO MISMATCH"
"118101041020","0d35d167e05a48cabed55225424424cf",5,"62","62",2,"NO MISMATCH","32","32",2,"NO MISMATCH"
"102104081332","0e0a6e4e61be4e86827a616c7e49c88b",0,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##",,"##N/A##"
"102104081332","0e0a6e4e61be4e86827a616c7e49c88b",1,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##",,"##N/A##"
"102104081332","0e0a6e4e61be4e86827a616c7e49c88b",2,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##",,"##N/A##"
"102104081332","0e0a6e4e61be4e86827a616c7e49c88b",3,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##",,"##N/A##"
"102104081332","0e0a6e4e61be4e86827a616c7e49c88b",4,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##",,"##N/A##"
"102104081332","0e0a6e4e61be4e86827a616c7e49c88b",5,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##",,"##N/A##"
"113105050532","103ae2d40d654ba6ae6314c148087521",0,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##",,"##N/A##"
"113105050532","103ae2d40d654ba6ae6314c148087521",1,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##",,"##N/A##"
"113105050532","103ae2d40d654ba6ae6314c148087521",2,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##",,"##N/A##"
"113105050532","103ae2d40d654ba6ae6314c148087521",3,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##",,"##N/A##"
"113105050532","103ae2d40d654ba6ae6314c148087521",4,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##",,"##N/A##"
"113105050532","103ae2d40d654ba6ae6314c148087521",5,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##",,"##N/A##"
"317101010205","104d7f9eb5cc42939d5b89074e036cb9",0,"602","602",2,"GOOD","379","379",2,"Good"
"317101010205","104d7f9eb5cc42939d5b89074e036cb9",1,"456","457",1,"wrong  numbering","257","257",2,"Good"
"317101010205","104d7f9eb5cc42939d5b89074e036cb9",2,"25","25",2,"GOOD","12","12",2,"Good"
"317101010205","104d7f9eb5cc42939d5b89074e036cb9",3,"14","14",2,"Good","15","15",2,"Good"
"317101010205","104d7f9eb5cc42939d5b89074e036cb9",4,"29","29",1,"Good","41","40",1,"wrong  tallying"
"317101010205","104d7f9eb5cc42939d5b89074e036cb9",5,"40","40",1,"Good","44","44",2,"Good"
"232101040606","1058921f8e3e4719beb3f8c64572daf1",0,"1233","1233",2,"NO MISMATCH","1555","1555",2,"NO MISMATCH"
"232101040606","1058921f8e3e4719beb3f8c64572daf1",1,"1800","1800",2,"NO MISMATCH","1562","1562",2,"NO MISMATCH"
"232101040606","1058921f8e3e4719beb3f8c64572daf1",2,"61","61",2,"NO MISMATCH","64","64",2,"NO MISMATCH"
"232101040606","1058921f8e3e4719beb3f8c64572daf1",3,"67","67",2,"NO MISMATCH","78","78",2,"NO MISMATCH"
"232101040606","1058921f8e3e4719beb3f8c64572daf1",4,"57","57",2,"NO MISMATCH","61","61",2,"No mismatch"
