"Final_EA_code","interview__id","Supervisor_id","s4nq109","s4nq110","s4nq111a","s4nq111b","s4nq112"
"410201010733","05a0fe0e9f714c0b84f108d501df571a",1,1,1,4,2019,1
"410201010733","05a0fe0e9f714c0b84f108d501df571a",2,1,1,5,2019,2
"410201010733","05a0fe0e9f714c0b84f108d501df571a",3,1,1,4,2019,2
"223121030202","05f078de3c20400bb66156c3a52d43ec",2,1,1,6,2019,2
"223121030202","05f078de3c20400bb66156c3a52d43ec",3,1,2,3,2019,3
"223121030202","05f078de3c20400bb66156c3a52d43ec",1,1,1,6,2019,1
"415114070301","07ae8f7297234aee97940f7561f48346",1,1,2,9,2018,2
"415114070301","07ae8f7297234aee97940f7561f48346",2,1,2,12,2018,1
"415114070301","07ae8f7297234aee97940f7561f48346",3,1,2,3,2019,2
"204102040514","0878b9ca320646cbb31fafb49df1a623",1,1,1,6,2019,2
"204102040514","0878b9ca320646cbb31fafb49df1a623",3,1,1,6,2019,1
"204102040514","0878b9ca320646cbb31fafb49df1a623",2,1,1,6,2019,2
"205101030109","098b64d5f62d4447a876789fb7762cb4",2,,,,,
"205101030109","098b64d5f62d4447a876789fb7762cb4",3,,,,,
"205101030109","098b64d5f62d4447a876789fb7762cb4",1,,,,,
"307202030201","09bfa283100c462d998e21c567116948",3,,,,,
"307202030201","09bfa283100c462d998e21c567116948",2,,,,,
"307202030201","09bfa283100c462d998e21c567116948",1,,,,,
"107302030503","0aee3535b7234e049787609e8776fee8",2,1,1,4,2019,4
"107302030503","0aee3535b7234e049787609e8776fee8",3,2,,,,
"107302030503","0aee3535b7234e049787609e8776fee8",1,1,1,7,2019,2
"117202080201","0b08b47250b441e9a1cef5e119453e39",2,,,,,
"117202080201","0b08b47250b441e9a1cef5e119453e39",1,,,,,
"117202080201","0b08b47250b441e9a1cef5e119453e39",3,,,,,
"204203010514","0c7be6801de643efa91970a69114cead",3,1,1,4,2019,1
"204203010514","0c7be6801de643efa91970a69114cead",1,1,2,5,2017,1
"204203010514","0c7be6801de643efa91970a69114cead",2,1,1,2,2019,1
"313104010108","0d07cf9a197b4eaa9ba64ed29c9134ad",1,1,1,6,2019,2
"313104010108","0d07cf9a197b4eaa9ba64ed29c9134ad",2,1,1,6,2019,2
"313104010108","0d07cf9a197b4eaa9ba64ed29c9134ad",3,1,1,5,2019,3
"118101041020","0d35d167e05a48cabed55225424424cf",1,1,1,3,2019,2
"118101041020","0d35d167e05a48cabed55225424424cf",2,1,1,5,2019,2
"118101041020","0d35d167e05a48cabed55225424424cf",3,1,1,3,2019,2
"102104081332","0e0a6e4e61be4e86827a616c7e49c88b",1,,,,,
"102104081332","0e0a6e4e61be4e86827a616c7e49c88b",3,,,,,
"102104081332","0e0a6e4e61be4e86827a616c7e49c88b",2,,,,,
"117301041130","0f26d7f7b06f4b93855c5a0a44a4a6d0",3,,,,,
"117301041130","0f26d7f7b06f4b93855c5a0a44a4a6d0",1,,,,,
"117301041130","0f26d7f7b06f4b93855c5a0a44a4a6d0",2,,,,,
"113105050532","103ae2d40d654ba6ae6314c148087521",2,,,,,
"113105050532","103ae2d40d654ba6ae6314c148087521",3,,,,,
"113105050532","103ae2d40d654ba6ae6314c148087521",1,,,,,
"317101010205","104d7f9eb5cc42939d5b89074e036cb9",2,1,1,3,2019,2
"317101010205","104d7f9eb5cc42939d5b89074e036cb9",1,1,1,4,2019,2
"317101010205","104d7f9eb5cc42939d5b89074e036cb9",3,1,1,4,2019,3
"232101040606","1058921f8e3e4719beb3f8c64572daf1",2,1,1,7,2019,1
"232101040606","1058921f8e3e4719beb3f8c64572daf1",3,1,1,6,2019,3
"232101040606","1058921f8e3e4719beb3f8c64572daf1",1,1,1,7,2019,1
"311105051111","10e47f214cb7482aa3d9da38fbb07f61",2,,,,,
"311105051111","10e47f214cb7482aa3d9da38fbb07f61",1,,,,,
"311105051111","10e47f214cb7482aa3d9da38fbb07f61",3,,,,,
"308102060619","1124288a21f7429c8e9307a11291b298",1,1,1,5,2019,1
"308102060619","1124288a21f7429c8e9307a11291b298",2,1,1,4,2019,2
"308102060619","1124288a21f7429c8e9307a11291b298",3,1,1,4,2019,2
"327106020513","11324295e37b4bd8b91976e0d5e61df7",2,1,1,6,2019,1
"327106020513","11324295e37b4bd8b91976e0d5e61df7",3,1,1,6,2019,1
"327106020513","11324295e37b4bd8b91976e0d5e61df7",1,1,1,6,2019,1
"102104020103","120745e30ae2426f86bb7f0dc22bbf48",1,,,,,
"102104020103","120745e30ae2426f86bb7f0dc22bbf48",2,,,,,
"102104020103","120745e30ae2426f86bb7f0dc22bbf48",3,,,,,
"219103170202","14b0a6db23fb42a683d40499e0651e1a",2,2,,,,
"219103170202","14b0a6db23fb42a683d40499e0651e1a",1,1,1,3,2019,2
"219103170202","14b0a6db23fb42a683d40499e0651e1a",3,2,,,,
"115202070303","14c013df40e448d49e47f95ceab9d37e",2,1,1,6,2019,2
"115202070303","14c013df40e448d49e47f95ceab9d37e",1,1,1,6,2019,1
"115202070303","14c013df40e448d49e47f95ceab9d37e",3,1,1,6,2019,2
"303404030404","1559b44962074f1fa1de10a1c4794e7f",3,1,1,8,2019,2
"303404030404","1559b44962074f1fa1de10a1c4794e7f",1,2,,,,
"303404030404","1559b44962074f1fa1de10a1c4794e7f",2,1,1,6,2019,2
"113105040201","15d825f70832453c8d77d9b0db1b716f",2,1,1,7,2019,2
"113105040201","15d825f70832453c8d77d9b0db1b716f",3,2,,,,
"113105040201","15d825f70832453c8d77d9b0db1b716f",1,1,1,7,2019,2
"223128010204","15daaf897d21429892bdbf6e9764ae66",3,1,1,7,2019,1
"223128010204","15daaf897d21429892bdbf6e9764ae66",1,1,1,7,2019,1
"223128010204","15daaf897d21429892bdbf6e9764ae66",2,1,1,8,2019,1
"322108020610","165176d72b6e412cad2ebc29b0a29ee2",3,1,2,11,2018,4
"322108020610","165176d72b6e412cad2ebc29b0a29ee2",1,1,2,5,2018,4
"322108020610","165176d72b6e412cad2ebc29b0a29ee2",2,1,1,3,2019,2
"102104020313","179be7cbf9884e01833685dd902c2f22",2,,,,,
"102104020313","179be7cbf9884e01833685dd902c2f22",1,,,,,
"102104020313","179be7cbf9884e01833685dd902c2f22",3,,,,,
"113604010110","17ad285d62d7499fa34b4a79740f73fd",1,1,1,5,2019,2
"113604010110","17ad285d62d7499fa34b4a79740f73fd",3,1,2,11,2018,4
"113604010110","17ad285d62d7499fa34b4a79740f73fd",2,1,1,4,2019,2
"221109050505","18cad48cbad4438ab7b9524abfdc566e",1,1,3,,,
"221109050505","18cad48cbad4438ab7b9524abfdc566e",3,1,2,3,2019,2
"221109050505","18cad48cbad4438ab7b9524abfdc566e",2,1,3,,,
"123110030105","19e17412e1bb4367904771f4b7d723b1",3,1,1,7,2019,2
"123110030105","19e17412e1bb4367904771f4b7d723b1",2,1,1,7,2019,2
"123110030105","19e17412e1bb4367904771f4b7d723b1",1,1,1,8,2019,2
"307108020605","1a7113db20214db7abccd7c463c86c4c",3,1,1,6,2019,2
"307108020605","1a7113db20214db7abccd7c463c86c4c",1,1,1,6,2019,2
"307108020605","1a7113db20214db7abccd7c463c86c4c",2,1,1,6,2019,1
"226105051005","1abf78b9247749bf82b6875f5fa2caac",2,1,1,2,2019,2
"226105051005","1abf78b9247749bf82b6875f5fa2caac",1,1,1,2,2019,3
"226105051005","1abf78b9247749bf82b6875f5fa2caac",3,1,1,2,2019,2
"415115040706","1b8cc2c217144817bece19f488026244",2,1,1,4,2019,1
"415115040706","1b8cc2c217144817bece19f488026244",1,1,2,9,2018,2
"415115040706","1b8cc2c217144817bece19f488026244",3,1,1,3,2019,2
"310102021618","1d1c39bd455d40e7adb33093f06cefb2",2,1,1,4,2019,3
"310102021618","1d1c39bd455d40e7adb33093f06cefb2",3,1,2,8,2018,4
"310102021618","1d1c39bd455d40e7adb33093f06cefb2",1,1,1,4,2019,2
"208202080102","1eb5ffb1eeb14468bc6eb36b5bb54ef5",1,1,1,3,2019,2
"208202080102","1eb5ffb1eeb14468bc6eb36b5bb54ef5",3,1,1,4,2019,1
"208202080102","1eb5ffb1eeb14468bc6eb36b5bb54ef5",2,1,1,3,2019,2
"323104030201","1f82d12a97c547288165584527f40a15",3,1,2,11,2018,3
"323104030201","1f82d12a97c547288165584527f40a15",1,1,1,2,2019,2
"323104030201","1f82d12a97c547288165584527f40a15",2,1,1,2,2019,2
"303201020510","1f9751e8115d473c98fdd74d60bf3cfe",1,2,,,,
"303201020510","1f9751e8115d473c98fdd74d60bf3cfe",2,1,1,4,2019,1
"303201020510","1f9751e8115d473c98fdd74d60bf3cfe",3,1,1,2,2019,2
"411403030809","20b3dc70a2ef47ffab2bc7cf0cfde6b0",1,1,1,3,2019,2
"411403030809","20b3dc70a2ef47ffab2bc7cf0cfde6b0",3,1,1,2,2019,2
"411403030809","20b3dc70a2ef47ffab2bc7cf0cfde6b0",2,1,1,4,2019,2
"107305070203","22079ff2853f489cae51dabb6c99470d",2,1,1,4,2019,2
"107305070203","22079ff2853f489cae51dabb6c99470d",3,1,1,4,2019,4
"107305070203","22079ff2853f489cae51dabb6c99470d",1,1,1,5,2019,2
"403201020515","22305ac5a3e1460c98eca90206d5b6bc",1,1,1,11,2019,1
"403201020515","22305ac5a3e1460c98eca90206d5b6bc",2,1,1,12,2019,2
"403201020515","22305ac5a3e1460c98eca90206d5b6bc",3,1,2,4,2019,2
"102105010613","2298e1b9396042d282a34faa2bbeac2d",1,,,,,
"102105010613","2298e1b9396042d282a34faa2bbeac2d",3,,,,,
"102105010613","2298e1b9396042d282a34faa2bbeac2d",2,,,,,
"215115020203","23f6bb268b504e58856725154c372561",1,1,1,11,2019,2
"215115020203","23f6bb268b504e58856725154c372561",2,1,1,12,2019,2
"215115020203","23f6bb268b504e58856725154c372561",3,1,1,11,2019,2
"230105040506","24dff56428de471c8f2d55dc2ad1600a",3,,,,,
"230105040506","24dff56428de471c8f2d55dc2ad1600a",2,,,,,
"230105040506","24dff56428de471c8f2d55dc2ad1600a",1,,,,,
"102101080210","2687e3cb2fe0474abeda57d9a8c8ad32",2,,,,,
"102101080210","2687e3cb2fe0474abeda57d9a8c8ad32",3,,,,,
"102101080210","2687e3cb2fe0474abeda57d9a8c8ad32",1,,,,,
"216202030604","26be7462ce5e43d3b0b9cfdda3680cda",3,2,,,,
"216202030604","26be7462ce5e43d3b0b9cfdda3680cda",2,1,1,8,2019,2
"216202030604","26be7462ce5e43d3b0b9cfdda3680cda",1,1,2,5,2019,2
"404102030405","26eef9075b7349a0b4525e9ba09468a2",3,1,1,3,2019,2
"404102030405","26eef9075b7349a0b4525e9ba09468a2",1,1,1,6,2019,2
"404102030405","26eef9075b7349a0b4525e9ba09468a2",2,1,1,7,2019,1
