"Final_EA_code","interview__id","initiative_id","s4qq01","s4qq02"
"410201010733","05a0fe0e9f714c0b84f108d501df571a",1,1,2
"410201010733","05a0fe0e9f714c0b84f108d501df571a",2,2,2
"410201010733","05a0fe0e9f714c0b84f108d501df571a",3,2,2
"410201010733","05a0fe0e9f714c0b84f108d501df571a",4,2,2
"410201010733","05a0fe0e9f714c0b84f108d501df571a",5,2,2
"410201010733","05a0fe0e9f714c0b84f108d501df571a",6,2,2
"410201010733","05a0fe0e9f714c0b84f108d501df571a",7,2,2
"410201010733","05a0fe0e9f714c0b84f108d501df571a",8,1,1
"410201010733","05a0fe0e9f714c0b84f108d501df571a",9,2,2
"410201010733","05a0fe0e9f714c0b84f108d501df571a",10,2,2
"410201010733","05a0fe0e9f714c0b84f108d501df571a",11,1,1
"410201010733","05a0fe0e9f714c0b84f108d501df571a",12,1,2
"410201010733","05a0fe0e9f714c0b84f108d501df571a",13,2,2
"410201010733","05a0fe0e9f714c0b84f108d501df571a",14,1,1
"410201010733","05a0fe0e9f714c0b84f108d501df571a",15,2,2
"410201010733","05a0fe0e9f714c0b84f108d501df571a",16,2,2
"410201010733","05a0fe0e9f714c0b84f108d501df571a",17,2,2
"410201010733","05a0fe0e9f714c0b84f108d501df571a",18,2,2
"410201010733","05a0fe0e9f714c0b84f108d501df571a",19,2,2
"410201010733","05a0fe0e9f714c0b84f108d501df571a",20,2,2
"223121030202","05f078de3c20400bb66156c3a52d43ec",1,2,2
"223121030202","05f078de3c20400bb66156c3a52d43ec",2,1,1
"223121030202","05f078de3c20400bb66156c3a52d43ec",3,2,2
"223121030202","05f078de3c20400bb66156c3a52d43ec",4,2,2
"223121030202","05f078de3c20400bb66156c3a52d43ec",5,2,2
"223121030202","05f078de3c20400bb66156c3a52d43ec",6,2,2
"223121030202","05f078de3c20400bb66156c3a52d43ec",7,2,2
"223121030202","05f078de3c20400bb66156c3a52d43ec",8,1,1
"223121030202","05f078de3c20400bb66156c3a52d43ec",9,2,2
"223121030202","05f078de3c20400bb66156c3a52d43ec",10,2,2
"223121030202","05f078de3c20400bb66156c3a52d43ec",11,1,1
"223121030202","05f078de3c20400bb66156c3a52d43ec",12,2,2
"223121030202","05f078de3c20400bb66156c3a52d43ec",13,2,2
"223121030202","05f078de3c20400bb66156c3a52d43ec",14,2,2
"223121030202","05f078de3c20400bb66156c3a52d43ec",15,2,2
"223121030202","05f078de3c20400bb66156c3a52d43ec",16,2,2
"223121030202","05f078de3c20400bb66156c3a52d43ec",17,2,2
"223121030202","05f078de3c20400bb66156c3a52d43ec",18,2,2
"223121030202","05f078de3c20400bb66156c3a52d43ec",19,2,2
"223121030202","05f078de3c20400bb66156c3a52d43ec",20,2,2
"415114070301","07ae8f7297234aee97940f7561f48346",1,1,1
"415114070301","07ae8f7297234aee97940f7561f48346",2,2,2
"415114070301","07ae8f7297234aee97940f7561f48346",3,2,2
"415114070301","07ae8f7297234aee97940f7561f48346",4,2,2
"415114070301","07ae8f7297234aee97940f7561f48346",5,2,2
"415114070301","07ae8f7297234aee97940f7561f48346",6,1,2
"415114070301","07ae8f7297234aee97940f7561f48346",7,2,2
"415114070301","07ae8f7297234aee97940f7561f48346",8,1,1
"415114070301","07ae8f7297234aee97940f7561f48346",9,2,2
"415114070301","07ae8f7297234aee97940f7561f48346",10,2,2
"415114070301","07ae8f7297234aee97940f7561f48346",11,2,2
"415114070301","07ae8f7297234aee97940f7561f48346",12,2,2
"415114070301","07ae8f7297234aee97940f7561f48346",13,2,2
"415114070301","07ae8f7297234aee97940f7561f48346",14,1,1
"415114070301","07ae8f7297234aee97940f7561f48346",15,2,2
"415114070301","07ae8f7297234aee97940f7561f48346",16,2,2
"415114070301","07ae8f7297234aee97940f7561f48346",17,2,2
"415114070301","07ae8f7297234aee97940f7561f48346",18,2,2
"415114070301","07ae8f7297234aee97940f7561f48346",19,2,2
"415114070301","07ae8f7297234aee97940f7561f48346",20,2,2
"204102040514","0878b9ca320646cbb31fafb49df1a623",1,1,1
"204102040514","0878b9ca320646cbb31fafb49df1a623",2,2,2
"204102040514","0878b9ca320646cbb31fafb49df1a623",3,2,2
"204102040514","0878b9ca320646cbb31fafb49df1a623",4,2,2
"204102040514","0878b9ca320646cbb31fafb49df1a623",5,2,2
"204102040514","0878b9ca320646cbb31fafb49df1a623",6,2,2
"204102040514","0878b9ca320646cbb31fafb49df1a623",7,2,2
"204102040514","0878b9ca320646cbb31fafb49df1a623",8,1,2
"204102040514","0878b9ca320646cbb31fafb49df1a623",9,2,2
"204102040514","0878b9ca320646cbb31fafb49df1a623",10,2,2
"204102040514","0878b9ca320646cbb31fafb49df1a623",11,1,1
"204102040514","0878b9ca320646cbb31fafb49df1a623",12,2,2
"204102040514","0878b9ca320646cbb31fafb49df1a623",13,1,2
"204102040514","0878b9ca320646cbb31fafb49df1a623",14,1,1
"204102040514","0878b9ca320646cbb31fafb49df1a623",15,1,2
"204102040514","0878b9ca320646cbb31fafb49df1a623",16,2,2
"204102040514","0878b9ca320646cbb31fafb49df1a623",17,2,2
"204102040514","0878b9ca320646cbb31fafb49df1a623",18,2,2
"204102040514","0878b9ca320646cbb31fafb49df1a623",19,2,2
"204102040514","0878b9ca320646cbb31fafb49df1a623",20,2,2
"205101030109","098b64d5f62d4447a876789fb7762cb4",1,,
"205101030109","098b64d5f62d4447a876789fb7762cb4",2,,
"205101030109","098b64d5f62d4447a876789fb7762cb4",3,,
"205101030109","098b64d5f62d4447a876789fb7762cb4",4,,
"205101030109","098b64d5f62d4447a876789fb7762cb4",5,,
"205101030109","098b64d5f62d4447a876789fb7762cb4",6,,
"205101030109","098b64d5f62d4447a876789fb7762cb4",7,,
"205101030109","098b64d5f62d4447a876789fb7762cb4",8,,
"205101030109","098b64d5f62d4447a876789fb7762cb4",9,,
"205101030109","098b64d5f62d4447a876789fb7762cb4",10,,
"205101030109","098b64d5f62d4447a876789fb7762cb4",11,,
"205101030109","098b64d5f62d4447a876789fb7762cb4",12,,
"205101030109","098b64d5f62d4447a876789fb7762cb4",13,,
"205101030109","098b64d5f62d4447a876789fb7762cb4",14,,
"205101030109","098b64d5f62d4447a876789fb7762cb4",15,,
"205101030109","098b64d5f62d4447a876789fb7762cb4",16,,
"205101030109","098b64d5f62d4447a876789fb7762cb4",17,,
"205101030109","098b64d5f62d4447a876789fb7762cb4",18,,
"205101030109","098b64d5f62d4447a876789fb7762cb4",19,,
"205101030109","098b64d5f62d4447a876789fb7762cb4",20,,
"307202030201","09bfa283100c462d998e21c567116948",1,,
"307202030201","09bfa283100c462d998e21c567116948",2,,
"307202030201","09bfa283100c462d998e21c567116948",3,,
"307202030201","09bfa283100c462d998e21c567116948",4,,
"307202030201","09bfa283100c462d998e21c567116948",5,,
"307202030201","09bfa283100c462d998e21c567116948",6,,
"307202030201","09bfa283100c462d998e21c567116948",7,,
"307202030201","09bfa283100c462d998e21c567116948",8,,
"307202030201","09bfa283100c462d998e21c567116948",9,,
"307202030201","09bfa283100c462d998e21c567116948",10,,
"307202030201","09bfa283100c462d998e21c567116948",11,,
"307202030201","09bfa283100c462d998e21c567116948",12,,
"307202030201","09bfa283100c462d998e21c567116948",13,,
"307202030201","09bfa283100c462d998e21c567116948",14,,
"307202030201","09bfa283100c462d998e21c567116948",15,,
"307202030201","09bfa283100c462d998e21c567116948",16,,
"307202030201","09bfa283100c462d998e21c567116948",17,,
"307202030201","09bfa283100c462d998e21c567116948",18,,
"307202030201","09bfa283100c462d998e21c567116948",19,,
"307202030201","09bfa283100c462d998e21c567116948",20,,
"107302030503","0aee3535b7234e049787609e8776fee8",1,2,2
"107302030503","0aee3535b7234e049787609e8776fee8",2,2,2
"107302030503","0aee3535b7234e049787609e8776fee8",3,2,2
"107302030503","0aee3535b7234e049787609e8776fee8",4,2,2
"107302030503","0aee3535b7234e049787609e8776fee8",5,2,2
"107302030503","0aee3535b7234e049787609e8776fee8",6,1,1
"107302030503","0aee3535b7234e049787609e8776fee8",7,2,2
"107302030503","0aee3535b7234e049787609e8776fee8",8,2,2
"107302030503","0aee3535b7234e049787609e8776fee8",9,2,2
"107302030503","0aee3535b7234e049787609e8776fee8",10,2,2
"107302030503","0aee3535b7234e049787609e8776fee8",11,2,2
"107302030503","0aee3535b7234e049787609e8776fee8",12,2,2
"107302030503","0aee3535b7234e049787609e8776fee8",13,2,2
"107302030503","0aee3535b7234e049787609e8776fee8",14,1,1
"107302030503","0aee3535b7234e049787609e8776fee8",15,2,2
"107302030503","0aee3535b7234e049787609e8776fee8",16,2,2
