"Final_EA_code","interview__id","s6q01","s6q02_1","s6q02_2","s6q02_3","s6q02_4","s6q02_5","s6q02_6","s6q02_7"
"410201010733","05a0fe0e9f714c0b84f108d501df571a",552,5,0,0,0,0,75,20
"223121030202","05f078de3c20400bb66156c3a52d43ec",225,80,0,0,0,0,19,1
"415114070301","07ae8f7297234aee97940f7561f48346",89,40,20,0,0,0,40,0
"204102040514","0878b9ca320646cbb31fafb49df1a623",219,90,0,0,0,0,10,0
"205101030109","098b64d5f62d4447a876789fb7762cb4",,,,,,,,
"307202030201","09bfa283100c462d998e21c567116948",1830,0,0,0,0,0,80,20
"107302030503","0aee3535b7234e049787609e8776fee8",310,70,0,0,0,5,20,5
"117202080201","0b08b47250b441e9a1cef5e119453e39",230,30,10,0,0,0,40,20
"204203010514","0c7be6801de643efa91970a69114cead",1054,0,20,0,0,5,70,5
"313104010108","0d07cf9a197b4eaa9ba64ed29c9134ad",150,75,0,0,0,3,20,2
"118101041020","0d35d167e05a48cabed55225424424cf",138,60,0,0,0,10,30,0
"102104081332","0e0a6e4e61be4e86827a616c7e49c88b",1200,0,0,0,0,0,100,0
"117301041130","0f26d7f7b06f4b93855c5a0a44a4a6d0",,,,,,,,
"113105050532","103ae2d40d654ba6ae6314c148087521",2000,5,0,0,0,20,70,5
"317101010205","104d7f9eb5cc42939d5b89074e036cb9",82,70,0,0,0,5,25,0
"232101040606","1058921f8e3e4719beb3f8c64572daf1",277,65,0,0,0,0,35,0
"311105051111","10e47f214cb7482aa3d9da38fbb07f61",200,80,0,0,0,0,20,0
"308102060619","1124288a21f7429c8e9307a11291b298",389,60,0,0,20,0,15,5
"327106020513","11324295e37b4bd8b91976e0d5e61df7",200,0,0,0,0,0,70,30
"102104020103","120745e30ae2426f86bb7f0dc22bbf48",,,,,,,,
"219103170202","14b0a6db23fb42a683d40499e0651e1a",184,90,0,0,0,0,10,0
"115202070303","14c013df40e448d49e47f95ceab9d37e",500,40,0,0,0,10,50,0
"303404030404","1559b44962074f1fa1de10a1c4794e7f",279,50,0,0,0,2,45,3
"113105040201","15d825f70832453c8d77d9b0db1b716f",150,10,0,20,0,0,60,10
"223128010204","15daaf897d21429892bdbf6e9764ae66",179,60,0,0,0,0,35,5
"322108020610","165176d72b6e412cad2ebc29b0a29ee2",37,60,0,0,0,0,40,0
"102104020313","179be7cbf9884e01833685dd902c2f22",350,0,0,0,0,0,100,0
"113604010110","17ad285d62d7499fa34b4a79740f73fd",850,0,0,0,0,0,70,30
"221109050505","18cad48cbad4438ab7b9524abfdc566e",198,60,0,0,0,0,40,0
"123110030105","19e17412e1bb4367904771f4b7d723b1",140,70,0,0,0,0,30,0
"307108020605","1a7113db20214db7abccd7c463c86c4c",125,30,0,0,0,5,55,10
"226105051005","1abf78b9247749bf82b6875f5fa2caac",350,75,0,0,0,0,24,1
"415115040706","1b8cc2c217144817bece19f488026244",275,50,0,0,0,0,50,0
"310102021618","1d1c39bd455d40e7adb33093f06cefb2",83,65,0,0,0,5,25,5
"208202080102","1eb5ffb1eeb14468bc6eb36b5bb54ef5",350,40,0,0,10,0,50,0
"323104030201","1f82d12a97c547288165584527f40a15",174,60,0,0,0,5,34,1
"303201020510","1f9751e8115d473c98fdd74d60bf3cfe",82,60,0,0,0,0,35,5
"411403030809","20b3dc70a2ef47ffab2bc7cf0cfde6b0",65,70,0,0,15,0,15,0
"107305070203","22079ff2853f489cae51dabb6c99470d",200,75,0,0,0,0,25,0
"403201020515","22305ac5a3e1460c98eca90206d5b6bc",89,50,0,0,0,0,50,0
"102105010613","2298e1b9396042d282a34faa2bbeac2d",120,0,0,0,0,0,40,60
"215115020203","23f6bb268b504e58856725154c372561",235,70,0,0,0,0,25,5
"230105040506","24dff56428de471c8f2d55dc2ad1600a",470,80,0,0,0,0,15,5
"102101080210","2687e3cb2fe0474abeda57d9a8c8ad32",1000,0,0,0,0,0,50,50
"216202030604","26be7462ce5e43d3b0b9cfdda3680cda",33,65,0,0,0,0,35,0
"404102030405","26eef9075b7349a0b4525e9ba09468a2",86,50,0,30,0,0,20,0
"409101040104","26f0c6653b8b4c1bad87410d14d90552",488,0,70,0,0,0,30,0
"119104030404","293ecee7a80a482c9e10d861a7ee9c7c",250,60,0,0,0,5,35,0
"422107010808","29cc9b2639524c459e1b9c4f9837262e",63,20,0,0,0,0,40,40
"117302030901","2b8544e9cb7347bdb22735d3564fdf4e",200,65,0,5,0,0,30,0
"102105130528","2bc65237da7d4f7995d38281b77b1e4b",550,0,0,0,0,0,95,5
"102105100433","2bea2c4985dd4f418a8c387b21ac7fbb",180,0,0,0,0,0,80,20
"102101040201","2c2b89bb4ed247988f21f5d27d2b69ff",,,,,,,,
"107202060102","2c4950efbc4f485ca7901eed4a944579",90,30,0,0,60,0,10,0
"205107030213","2c5000cc7fa54db897421cefd55bae85",681,70,0,0,0,0,20,10
"330107010101","2c7dff734efc4ccb991e6cba613ab077",245,10,0,0,0,1,87,2
"303404010207","2c8f787219df44ad88f08faf238da056",320,75,0,1,0,2,21,1
"417103010710","2d21136097a4458a990cfe6f52865418",78,40,0,0,0,0,25,35
"124101050211","2f0258e282264dd6be94505229e6d055",150,55,0,0,0,10,35,0
"102102080506","2f3dadda9c4d49b89b8f3d25ecf05ddc",7000,0,0,0,0,0,80,20
"106101090206","303f41c72565478cbb227a5e342ebc3e",190,60,0,5,0,5,20,10
"320102040601","30b9d5e1f9fe43dd8a86e6563a69e79a",155,25,0,0,0,0,70,5
"405302030405","30fa92d582c34ffb8cd59644c7cc475f",450,60,0,0,0,0,40,0
"318116050101","312a435313e24061969eab79d4d65731",72,50,0,10,0,0,40,0
"110207040309","31a3f66b54524494a74c267e31e91d05",300,50,0,0,10,10,25,5
"218115040101","32bb43e6ccef425296ce50b454dcdcf2",155,85,0,0,0,0,14,1
"201206020507","333db34cb0974453b19b4d13bf2506ac",,,,,,,,
"115103020402","34533291de9b4e30a46add0d31cb8f27",100,60,0,0,5,15,20,0
"226101010214","349edf6fc6cb49ddb9bfeb044f66c642",228,80,0,0,0,1,18,1
"302201050803","34efbcdf896549f7b8f690de4d3ebdf7",90,75,0,0,0,0,25,0
"409301030405","362ff1525f0b427ebc84612761e41586",858,0,0,0,0,0,90,10
"302101021503","369a2e686b0641f08735d83c69d92007",45,80,0,0,0,0,18,2
"311202010102","37c7d386630e44f0b224b90b5746a370",120,40,0,0,50,0,10,0
"321107061709","391f45ad2d3548e1a27bd7652fb6719f",106,70,0,0,0,5,25,0
"113406060107","39627200a32c4626bb07b5c5e5a292e7",2500,30,0,0,0,0,60,10
"230105010304","39e38a8716404f4f8588e28c28dbc0d7",386,80,0,0,0,0,15,5
"302205050202","3a542ba2ee9a46dcb7835e47f9c7612c",70,70,0,0,0,5,23,2
"404207040904","3ac09195350c451580bdcc430347f62d",86,30,0,20,25,0,25,0
"329106020616","3b3c7af2481243f894a3a0b95ecb924a",25,50,0,0,0,0,50,0
"325103060210","3ce08aeb981a41a5bc347d2a41198d4c",68,65,0,0,0,5,30,0
"211105030205","3cf0a1fa46ae46828806f8595135cb16",480,46,0,0,0,4,48,2
"204302051318","3d61703566614f43b422c80f897bc1e4",180,50,0,0,0,0,30,20
"223108100606","3f41cdc7f4484a90894f7afe2a53b89b",55,80,0,0,0,0,20,0
"104104030820","40927a9f8da44e0980c45b12154cbe6e",800,0,0,0,0,0,100,0
"303405071314","41d507da42f24faaa7e7d79bf789ee25",98,75,0,0,0,0,20,5
"203301010111","44c8e8b546fa4e92b4e149105804a139",,,,,,,,
"202205030602","4582b29c263744c49916b533238ce553",450,80,0,0,0,0,20,0
"229104021009","45e2495043be477d9602ba8645c8bf4a",420,80,0,0,0,0,15,5
"411302020404","468987393fd44482ae5a32350511eae9",250,45,0,5,35,0,15,0
"412201070408","46bc8364e56f4e2ab24e7cb582ffa6f5",152,40,0,10,30,0,20,0
"405203030403","481f3d44d4074b55b71c4bd5c9624349",504,30,0,0,0,0,70,0
"124101050312","49123f99dd9b4867a7ae5242708194e8",270,40,0,20,0,10,30,0
"317107051210","4936d20fd0be487bb99a45cce8212c35",80,55,0,0,0,5,40,0
"104208040401","49d2684cbd464eefb0be494729d22b00",1750,5,0,0,0,5,90,0
"102103041252","4af38353df164c5899db4e345313f601",220,0,0,0,0,0,20,80
"102102020513","4b07af9a7bac48378ebe933289a62249",,,,,,,,
"306203010305","4b14fdfdc4154af5a1bcb1b438adbdae",52,70,0,0,0,0,30,0
"201203010310","4dd40973252a4df3b81cc3878d136268",465,75,0,2,0,0,13,10
"212305020404","4e6fd738620241a78230c9437484db77",140,70,0,0,0,1,25,4
"110305010603","50a0e9476f3f4947b4d66dd8a705c802",250,50,0,0,0,10,40,0
"317103020201","51986b54676d4e3085ac48d351aad29f",107,80,0,0,0,0,20,0
"417201010905","527a88628b1c4245adb71c4662a1af4e",312,45,0,10,20,0,15,10
"403101020501","5300060198c04c3485bf13651c7b82d3",,,,,,,,
"116102050101","53fa8063d7db4987a04f9cae08506685",180,60,0,0,0,10,30,0
"230109050511","54d04063673a4a7ab972f1199ab4e1ff",500,80,0,5,0,0,0,15
"115303050716","559f5482d2fa4c78972662ac4ceb915d",120,60,0,10,0,0,30,0
"418104030103","55b84b9565e64200bcc7eaa60d8418c4",126,50,0,15,10,0,15,10
"303405070316","56225232b3034646ba8e9436724fa544",,,,,,,,
"323106040915","57061e3264f84996a2ba50e00b820c3d",185,70,0,0,0,5,25,0
"419204020202","58cf916082f84b129b54810c4162440b",700,20,0,0,60,0,15,5
"414116010603","58d95fc307344244a2c14cfc7eea34f1",130,40,0,15,20,0,15,10
"102103050203","59accfcda4d542a2bc8fa95683519618",,,,,,,,
"205101020309","5a30e64718014fc9811f7bd9dfe1c1d2",,,,,,,,
"215109020818","5b2bb8ba8da5434697e179c32987259f",120,60,0,0,0,0,38,2
"112204030107","5b3c6ba74736462184fa8b7243f7bb77",1800,30,0,0,0,5,65,0
"409203050902","5c104965b50542969565c120c3357a43",298,40,30,0,0,0,30,0
"319107020203","5c166c1642f340b8ba41cf7b91388623",108,60,0,0,0,30,2,8
"214108010504","5ed8795ec990433f86ac9edf56960494",,,,,,,,
"115104030401","5f625ed846014f17a798653d56908b5a",350,40,0,0,0,10,50,0
"303503041111","5f9671150b6c4d8d8f955faff27f799c",187,75,0,5,0,1,15,4
"204301010302","5f9c806271044865a1c49ca22b9b1289",382,60,0,0,0,0,30,10
"302303070505","5fd0f31f330a49a79109ca76f86e31f4",180,0,0,0,0,0,80,20
"110203060109","608bfd2bd5f84124be9fc9833b1caaac",380,60,0,0,0,10,30,0
"405104020509","61dc08d3c51a46b88c52bb99d71911c2",215,50,0,0,0,0,50,0
"212105040709","61e4b68c15e0457c9f6f2ff9180e9e7c",122,70,0,1,0,1,18,10
"115206030602","62af21468f5b4edb904b87aa88566ce0",320,5,0,0,0,15,60,20
"211107030208","62f01c4bc6cf48c78a15d668e8e295ed",350,90,0,0,0,5,5,0
"417109040205","63ef3bf75fef4be68830b107eef9b96e",205,60,0,5,15,0,15,5
"226102050810","645e8f52e0284da1af7439cac3420432",359,70,0,0,0,0,25,5
"412103070506","652892d80eef4dc886ac0f02c5e3747c",97,60,0,10,10,0,20,0
"423110010602","6576b15a95a04314b4f24e9060ca7bcb",100,40,0,0,0,0,30,30
"214102020611","6596c2921b4f49fcb7fa17cfa9d0786a",508,60,0,0,0,0,30,10
"222111021102","65e342045671412cbeb3d4ecbb507b80",219,90,0,0,0,2,5,3
"108301010115","663e019dae8f42e4aa5daaedc81619c0",1650,5,0,0,0,0,90,5
"320108080103","664e98a3af9c4657a4af8f3dfb526818",187,65,0,0,0,0,30,5
"104105040311","67ac1b9b59384c0caead6c62332352cd",240,30,0,0,0,10,50,10
