"Final_EA_code","interview__id","NGO_id","s6cq01","s6cq02","s6cq03","s6cq04","s6cq05"
"308102060619","1124288a21f7429c8e9307a11291b298",1,3,1998,4,20,6
"308102060619","1124288a21f7429c8e9307a11291b298",2,3,2015,2,10,5
"308102060619","1124288a21f7429c8e9307a11291b298",3,3,2011,4,10,5
"303404030404","1559b44962074f1fa1de10a1c4794e7f",1,3,2017,5,0,0
"303404030404","1559b44962074f1fa1de10a1c4794e7f",2,2,2019,5,29,17
"303404030404","1559b44962074f1fa1de10a1c4794e7f",3,3,2016,5,0,0
"221109050505","18cad48cbad4438ab7b9524abfdc566e",1,3,1997,4,25,5
"215115020203","23f6bb268b504e58856725154c372561",1,3,1992,4,45,20
"230105040506","24dff56428de471c8f2d55dc2ad1600a",1,3,2009,1,15,2
"102105130528","2bc65237da7d4f7995d38281b77b1e4b",1,1,2005,1,250,100
"303404010207","2c8f787219df44ad88f08faf238da056",1,2,2019,5,120,60
"124101050211","2f0258e282264dd6be94505229e6d055",1,3,1993,4,36,15
"102102080506","2f3dadda9c4d49b89b8f3d25ecf05ddc",1,2,2018,4,300,168
"318116050101","312a435313e24061969eab79d4d65731",1,3,2017,3,22,22
"110207040309","31a3f66b54524494a74c267e31e91d05",1,3,2005,1,98,98
"329106020616","3b3c7af2481243f894a3a0b95ecb924a",1,2,2016,96,25,15
"204302051318","3d61703566614f43b422c80f897bc1e4",1,2,2011,2,26,5
"204302051318","3d61703566614f43b422c80f897bc1e4",2,3,2010,5,45,18
"204302051318","3d61703566614f43b422c80f897bc1e4",3,3,2000,4,101,49
"412201070408","46bc8364e56f4e2ab24e7cb582ffa6f5",1,2,2018,96,20,20
"204301010302","5f9c806271044865a1c49ca22b9b1289",1,3,1999,4,24,11
"212105040709","61e4b68c15e0457c9f6f2ff9180e9e7c",1,3,1998,4,31,16
"115206030602","62af21468f5b4edb904b87aa88566ce0",1,2,2010,96,80,70
"115206030602","62af21468f5b4edb904b87aa88566ce0",2,2,2010,4,60,30
"115206030602","62af21468f5b4edb904b87aa88566ce0",3,2,2012,4,40,25
"211107030208","62f01c4bc6cf48c78a15d668e8e295ed",1,1,2014,5,36,12
"211107030208","62f01c4bc6cf48c78a15d668e8e295ed",2,3,2009,4,30,20
"417109040205","63ef3bf75fef4be68830b107eef9b96e",1,1,2015,5,35,25
"412103070506","652892d80eef4dc886ac0f02c5e3747c",1,3,2007,4,13,6
"406210060603","6aac54099d5446c99029c48d21edbab1",1,1,2016,2,5,1
"406210060603","6aac54099d5446c99029c48d21edbab1",2,2,2011,4,4,0
"306204010301","6cb2e1bf1182402dbb626c64f4ba2cfb",1,2,2017,5,150,145
"113113020418","73b6584e55df47ef8692caed8625a956",1,2,2010,4,40,20
"314105010202","75df2b5c7d6b49258b3614c8243de9b7",1,3,2000,1,32,18
"314105010202","75df2b5c7d6b49258b3614c8243de9b7",2,9,2018,3,60,50
"314105010202","75df2b5c7d6b49258b3614c8243de9b7",3,1,2017,4,30,20
"304204020110","7b91ac7196d446f7b7c4c92f86fbac42",1,2,2019,4,50,30
"304204020110","7b91ac7196d446f7b7c4c92f86fbac42",2,2,1995,4,100,80
"304204020110","7b91ac7196d446f7b7c4c92f86fbac42",3,2,2019,4,20,15
"102102060108","8ed0e75643204d23b4513def2c5cc970",1,1,1999,4,80,50
"110206030911","8f69cfcd9bea4a2a9339fd61390606cf",1,3,2009,1,10,2
"124104040103","977cf8b59c214cd6806539e994d0a6d9",1,3,2005,4,40,25
"312105020216","989fa310b63545678cb56e3f009ee547",1,3,2018,4,5,3
"102104190357","9ecbe56df9f249d3be5a6ba4df28dccc",1,2,2017,1,2,2
"304301040405","a0525377534b48f0bb0d4c99d963fda6",1,2,2016,4,80,50
"304301040405","a0525377534b48f0bb0d4c99d963fda6",2,3,2015,4,80,50
"204301020206","a221543631f54480bde0e51df15c6361",1,3,1998,4,38,17
"307108030908","a29bda3a56964baba85e14f3c2abf988",1,2,2019,5,25,10
"418202010203","a5e08a9b241643949baeb09fac3ee420",1,1,2010,4,30,30
"108301050512","a93651e6ad8d4de2af53d25e4a9fc082",1,3,2007,96,50,35
"108301050512","a93651e6ad8d4de2af53d25e4a9fc082",2,3,2000,96,30,20
"108301050512","a93651e6ad8d4de2af53d25e4a9fc082",3,3,2013,1,30,25
"108301050512","a93651e6ad8d4de2af53d25e4a9fc082",4,3,2004,96,40,30
"108301050512","a93651e6ad8d4de2af53d25e4a9fc082",5,3,2000,3,40,30
"309103050101","b341d8d46699459d85270dbbf9234423",1,3,2017,5,0,0
"302204050508","b60db776f7044c0993c08a34296e7410",1,2,2019,96,28,28
"318112010303","bcf4623a365e43579a50ae7608a20bb4",1,3,2010,3,10,10
"221109020302","bfade52afbbe499582123960bdf484ad",1,3,2003,5,5,3
"321103040514","c40d2554992447aaab0c9ed075204836",1,2,2019,96,16,9
"321103040514","c40d2554992447aaab0c9ed075204836",2,3,2018,4,30,15
"426202040101","c997c4379310457193d2e4fec060d957",1,1,2002,1,49,28
"304102010107","c9f3e3b01148416390d788c451e83853",1,3,2013,1,1000,1000
"304102010107","c9f3e3b01148416390d788c451e83853",2,2,2019,5,200,120
"304102010107","c9f3e3b01148416390d788c451e83853",3,3,2016,96,80,49
"304102010107","c9f3e3b01148416390d788c451e83853",4,3,1999,4,1000,530
"408113040517","cc8047dc8a484aaa9836d72178b1780c",1,3,2000,5,65,42
"325107010301","cd1474d77fac421a97691e211fcbba4c",1,3,2018,1,160,100
"408112020621","ce05dd69d60e43e28966bf07a745ce3d",1,1,2014,9,70,25
"408112020621","ce05dd69d60e43e28966bf07a745ce3d",2,1,2008,96,45,15
"103105050501","cedfce2c57e641d18f8cb9d9c783e6a3",1,3,2007,4,50,30
"212104030611","d63ba4eb8a1c4a0e9cca5826e2affa7e",1,3,1997,4,201,150
"325101020514","da5e5ab5a00e480683eae461cba99b13",1,2,2018,9,20,8
"325101020514","da5e5ab5a00e480683eae461cba99b13",2,3,2015,5,20,6
"309204060609","e6d0819875ec42e4b949ea30d57fb7e3",1,2,2018,5,30,21
"330110010403","e86a2ea031ca4f9cb0b66693561736c8",1,2,2016,5,30,16
"330110010403","e86a2ea031ca4f9cb0b66693561736c8",2,2,2016,5,15,15
"102105030701","e9e027640d2a4506aec7a34b6c679073",1,1,2011,1,630,425
"313102050501","eb8f3695097d4ec5a6d7c65858451483",1,3,2017,4,0,0
"313102050501","eb8f3695097d4ec5a6d7c65858451483",2,3,2016,96,0,0
"313102050501","eb8f3695097d4ec5a6d7c65858451483",3,3,2018,4,0,0
"313102050501","eb8f3695097d4ec5a6d7c65858451483",4,3,2016,1,0,0
"313102050501","eb8f3695097d4ec5a6d7c65858451483",5,3,2016,1,0,0
"313102050501","eb8f3695097d4ec5a6d7c65858451483",6,3,2016,1,0,0
"313102050501","eb8f3695097d4ec5a6d7c65858451483",7,3,2016,96,2,0
