"hhid","region","regurb","subreg","district","urban","equiv","hsize","nrrexp30","cpexp30","welfare","hpline","spline","poor_2020","quints"
"0007d1f1449242feb5a25429644fb991",3,30,9,325,0,4.16026666760445,5,1027903.25,575020.75,138217.28125,30611.45703125,41684.78515625,0,4
"0010cbae3cea4ec9831f6cd92b02dc16",3,30,9,325,0,2.730299949646,3,475278.9375,264819.875,96992.9609375,30611.45703125,41684.78515625,0,4
"00246782f8654441a9df0f6ec0b6fc9f",3,30,9,323,0,4.3817665874958,6,363729.46875,199054.109375,45427.8203125,30611.45703125,41684.78515625,0,1
"003ed8d32f794609919d60d2ed8813e8",2,20,6,223,0,2.96213334798813,4,292169.03125,161513.59375,54526.10546875,30611.45703125,41245.17578125,0,2
"005fbc5779014a0290b088071bde9f72",1,11,15,113,1,0.773800015449524,1,353241.875,195602.84375,252782.171875,30611.45703125,46233.65234375,0,5
"0060071f3f414406af7312d68eae8513",1,10,3,107,0,2.71869993209839,3,166879.875,92741.8125,34112.55859375,30611.45703125,42584.00390625,1,1
"007341c9c07448a580714ee6a46d427f",1,11,15,113,1,2.37509995698929,3,335514.71875,185495.234375,78099.96875,30611.45703125,46233.65234375,0,3
"008c674975f24ea79f50e30cbd4ee635",3,30,8,327,0,4.18373334407806,5,194569.4375,107296.4375,25646.09765625,30611.45703125,41684.78515625,1,1
"009c1baa0edb44f8af47773ce0b7caaa",4,40,14,418,0,1.57369995117188,2,430378.375,234350,148916.578125,30611.45703125,40558.76171875,0,4
"00b48fb6bcf84dd581bd7b2be5f908a0",1,10,3,104,0,0.773800015449524,1,437866.875,238202.5625,307834.78125,30611.45703125,42584.00390625,0,5
"00b4bea2a97641f88ae09439328edd9a",1,11,1,102,1,0.992266654968262,1,990989.5,549153.9375,553433.8125,30611.45703125,46233.65234375,0,5
"00c2b27287a74f948fef24a8de42825c",1,11,2,114,1,4.30559995770454,6,438288,242305.734375,56276.87890625,30611.45703125,46233.65234375,0,2
"00cb487f12014891b3efa5c8679d18ab",3,30,9,325,0,3.73513329029083,4,496426.1875,273523.25,73229.8515625,30611.45703125,41684.78515625,0,3
"00d5da8bbd544c548a71f176496ee4b6",3,30,9,325,0,4.14009994268417,6,693723.6875,381896.125,92243.2109375,30611.45703125,41684.78515625,0,3
"00dc3a212a1f40698656b2dc7cc97a85",2,20,5,202,0,6.89593331515789,10,564169.5625,314429.375,45596.34765625,30611.45703125,41245.17578125,0,1
"0142f6f0c8f9435c97ac2563a6f390ec",4,40,14,411,0,5.7963333427906,7,861347.875,471165.125,81286.7578125,30611.45703125,40558.76171875,0,3
"014cbd0c0b844976888438f7ea74aa69",3,30,11,309,0,0.992266654968262,1,307435.9375,171608.375,172945.828125,30611.45703125,41684.78515625,0,5
"0182fc7b5eb44c44aef16c3a178fb762",3,30,11,319,0,1.76606667041779,2,428208.71875,238520.71875,135057.59375,30611.45703125,41684.78515625,0,4
